id,support_memory_id,support_memory_enhancement_item_id,quantity,priority
1,100012,100011,15,2
2,100012,100012,20,1
3,100013,100013,30,2
4,100013,100014,30,1
5,200012,200011,15,2
6,200012,200012,20,1
7,200013,200013,30,2
8,200013,200014,30,1
9,300012,300011,15,2
10,300012,300012,20,1
11,300013,300013,30,2
12,300013,300014,30,1
13,400012,400011,15,2
14,400012,400012,20,1
15,400013,400013,30,2
16,400013,400014,30,1
17,500012,500011,15,2
18,500012,500012,20,1
19,500013,500013,30,2
20,500013,500014,30,1
21,200082,200081,15,1
22,200083,200082,20,1
23,200084,200083,30,1
24,200085,200084,30,1
25,300052,300051,15,1
26,300053,300052,20,1
27,300054,300053,30,1
28,300055,300054,30,1
29,200112,200111,15,1
30,200113,200112,20,1
31,200114,200113,30,1
32,200115,200114,30,1
33,400052,400051,15,1
34,400053,400052,20,1
35,400054,400053,30,1
36,400055,400054,30,1
37,400042,400041,15,1
38,400043,400042,20,1
39,400044,400043,30,1
40,400045,400044,30,1
41,100022,100024,15,1
42,100023,100024,30,1
43,500072,500071,15,1
44,500073,500072,20,1
45,500074,500073,30,1
46,500075,500074,30,1
47,200042,200041,15,1
48,200043,200042,20,1
49,200044,200043,30,1
50,200045,200044,30,1
51,500042,500041,15,1
52,500043,500042,20,1
53,500044,500043,30,1
54,500045,500044,30,1
55,500032,500034,15,1
56,500033,500034,30,1
57,400022,400021,15,1
58,400023,400022,20,1
59,400024,400023,30,1
60,400025,400024,30,1
61,500052,500051,15,1
62,500053,500052,20,1
63,500054,500053,30,1
64,500055,500054,30,1
65,400082,400081,15,1
66,400083,400082,20,1
67,400084,400083,30,1
68,400085,400084,30,1
71,100052,100051,15,1
72,100053,100052,20,1
73,100054,100053,30,1
74,100055,100054,30,1
75,400032,400034,15,1
76,400033,400034,30,1
