id,name,description,support_memory_id,exec_timing_type,target_type,target_type_values,sub_target_type_set_id,probability,turn,causality_conditions,calc_option,efficacy_type,efficacy_values,created_at,updated_at
100021,孫悟空の結婚,"バトル中「孫悟空の系譜」カテゴリの
味方全員のATKとDEF10%UP",10002,1,2,[],65,100,-1,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
100031,修業完了！！,"バトル開始から3000ターンの間、
味方全員のATKとDEF3000UP、
会心の発動確率3%UP(1回のみ)",10003,1,2,[],0,100,3000,,0,3,"[3000, 3000, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
100032,修業完了！！,"バトル開始から3000ターンの間、
味方全員のATKとDEF3000UP、
会心の発動確率3%UP(1回のみ)",10003,1,2,[],0,100,3000,,2,90,"[3, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
100041,武道家の意地,"バトル開始から3ターン目以降、
「天下一武道会」カテゴリのキャラが
敵かチームにいるとき、
3ターンの間、味方全員の気力+1、
ATKとDEF10%UP(1回のみ)",10004,1,2,[],0,100,3,"{""source"": ""2115&(2116|2117)"", ""compiled"": [""&"", 2115, [""|"", 2116, 2117]]}",2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
100042,武道家の意地,"バトル開始から3ターン目以降、
「天下一武道会」カテゴリのキャラが
敵かチームにいるとき、
3ターンの間、味方全員の気力+1、
ATKとDEF10%UP(1回のみ)",10004,1,2,[],0,100,3,"{""source"": ""2115&(2116|2117)"", ""compiled"": [""&"", 2115, [""|"", 2116, 2117]]}",0,5,"[1, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
100051,筋斗雲との出会い,"バトル開始から2ターンの間、
「少年編」カテゴリの
味方全員のATKとDEF10%UP(1回のみ)",10005,1,2,[],74,100,2,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
100061,初めてのともだち,"バトル開始から2ターンの間、
「少年・少女」または「人造人間」カテゴリの
味方全員のATKとDEFと会心率8%UP(1回のみ)",10006,1,2,[],72,100,2,,2,3,"[8, 8, 0]",2024-05-13 02:07:26,2024-05-13 02:07:26
100062,初めてのともだち,"バトル開始から2ターンの間、
「少年・少女」または「人造人間」カテゴリの
味方全員のATKとDEFと会心率8%UP(1回のみ)",10006,1,2,[],72,100,2,,2,90,"[8, 0, 0]",2024-05-13 02:07:26,2024-05-13 02:07:26
100063,初めてのともだち,"バトル開始から2ターンの間、
「少年・少女」または「人造人間」カテゴリの
味方全員のATKとDEFと会心率8%UP(1回のみ)",10006,1,2,[],540,100,2,,2,3,"[8, 8, 0]",2024-05-13 02:07:26,2024-05-13 02:07:26
100064,初めてのともだち,"バトル開始から2ターンの間、
「少年・少女」または「人造人間」カテゴリの
味方全員のATKとDEFと会心率8%UP(1回のみ)",10006,1,2,[],540,100,2,,2,90,"[8, 0, 0]",2024-05-13 02:07:26,2024-05-13 02:07:26
200011,怒りのフリーザ,"超系の敵がいるとき、1ターンの間、
極系の味方全員のATK15%UP(1回のみ)",20001,1,13,[],0,100,1,"{""source"": ""804"", ""compiled"": 804}",2,1,"[15, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200021,密かな想い,"バトル開始から2ターンの間、
「魔人ブウ編」カテゴリの
味方全員の気力+2",20002,1,2,[],17,100,2,,0,5,"[2, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200031,地上最強のコンビ誕生,"バトル開始から2ターンの間、
味方全体の気力+2(1回のみ)",20003,1,2,[],0,100,2,,0,5,"[2, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200041,超サイヤ人を超えろ！,"バトル開始から2ターンの間、
「超サイヤ人」カテゴリの
味方全員のATKとDEF10%UP、
または「超サイヤ人2」カテゴリの
味方全員のATKとDEF20%UP(1回のみ)",20004,1,2,[],196,100,2,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200042,超サイヤ人を超えろ！,"バトル開始から2ターンの間、
「超サイヤ人」カテゴリの
味方全員のATKとDEF10%UP、
または「超サイヤ人2」カテゴリの
味方全員のATKとDEF20%UP(1回のみ)",20004,1,2,[],197,100,2,,2,3,"[20, 20, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200051,戦闘力530000,"バトル中「ナメック星編」カテゴリの
極系の味方全員のATKとDEF15%UP",20005,1,13,[],26,100,-1,,2,3,"[15, 15, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200061,怒りによって目覚めた戦士,"バトル中「ナメック星編」カテゴリの
超系の味方全員のATKとDEF15%UP",20006,1,12,[],26,100,-1,,2,3,"[15, 15, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200071,悟飯の涙,"バトル開始から2ターンの間、
「孫悟空の系譜」カテゴリの
味方全員のATKとDEF10%UP(1回のみ)",20007,1,2,[],65,100,2,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200081,奇妙な巡り合わせ,"バトル開始から4ターン目、
または自身のHP40%以下で
チームに「純粋サイヤ人」カテゴリの
味方がいるとき、
HPが35%回復する(1回のみ)",20008,1,1,[],0,100,1,"{""source"": ""(442&954)|713"", ""compiled"": [""|"", [""&"", 442, 954], 713]}",2,4,"[35, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200091,ギニューのスーパーファイティングポーズ,"超系の敵がいるとき、2ターンの間、
極系の味方全員のATKとDEF10%UP(1回のみ)",20009,1,13,[],0,100,2,"{""source"": ""804"", ""compiled"": 804}",2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200111,過去で築いた絆,"バトル開始から2ターンの間、
「ベジータの系譜」カテゴリの
味方全員のATKとDEF10%UP(1回のみ)",20011,1,2,[],67,100,2,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200121,ベジータのプライド,"バトル開始から2ターンの間、
「心身の侵食」カテゴリの
味方全員の気力+1、ATKとDEF10%UP(1回のみ)",20012,1,2,[],157,100,2,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200122,ベジータのプライド,"バトル開始から2ターンの間、
「心身の侵食」カテゴリの
味方全員の気力+1、ATKとDEF10%UP(1回のみ)",20012,1,2,[],157,100,2,,0,5,"[1, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200131,クリリン驚異のパワーアップ,"バトル開始から2ターンの間、
「急激な成長」カテゴリの
味方全体のATKとDEF10%UPし、
「ナメック星編」カテゴリの
味方全員の気力+3",20013,1,2,[],126,100,2,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200132,クリリン驚異のパワーアップ,"バトル開始から2ターンの間、
「急激な成長」カテゴリの
味方全体のATKとDEF10%UPし、
「ナメック星編」カテゴリの
味方全員の気力+3",20013,1,2,[],26,100,2,,0,5,"[3, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200141,セルゲーム開幕宣言,"バトル中「人造人間/セル編」カテゴリの
極系の味方全員のATKとDEF15%UP",20014,1,13,[],84,100,-1,,2,3,"[15, 15, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200151,ピッコロからの贈り物,"バトル中「人造人間/セル編」カテゴリの
超系の味方全員のATKとDEF15%UP",20015,1,12,[],84,100,-1,,2,3,"[15, 15, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200161,揺れ動く想い,"バトル中「人造人間」
または「地球人」カテゴリの
味方全員のATKとDEF10%UP",20016,1,2,[],40,100,-1,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200162,揺れ動く想い,"バトル中「人造人間」
または「地球人」カテゴリの
味方全員のATKとDEF10%UP",20016,1,2,[],437,100,-1,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200171,孫悟空ついに到着！,"HP59%以下で
チームに「地球育ちの戦士」
カテゴリの味方がいるとき、
2ターンの間、味方全員の気力+2(1回のみ)",20017,1,2,[],0,100,2,"{""source"": ""2248&2399"", ""compiled"": [""&"", 2248, 2399]}",0,5,"[2, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
200181,悟空の情け,"バトル開始から4ターン目に、
2ターンの間、「怒り爆発」カテゴリの
味方全員のATKとDEF15%UPし、
バトル開始から4ターン目以降に、
「命運をかけた闘い」カテゴリの敵がいるとき、
1ターンの間、味方全員の気力+2(1回のみ)",20018,1,2,[],399,100,2,"{""source"": ""3139"", ""compiled"": 3139}",2,3,"[15, 15, 0]",2024-05-13 02:07:26,2024-05-13 02:07:26
200182,悟空の情け,"バトル開始から4ターン目に、
2ターンの間、「怒り爆発」カテゴリの
味方全員のATKとDEF15%UPし、
バトル開始から4ターン目以降に、
「命運をかけた闘い」カテゴリの敵がいるとき、
1ターンの間、味方全員の気力+2(1回のみ)",20018,1,2,[],0,100,1,"{""source"": ""3139&3140"", ""compiled"": [""&"", 3139, 3140]}",0,5,"[2, 0, 0]",2024-05-13 02:07:26,2024-05-13 02:07:26
300011,シッポを引き出せ！,"極系の敵がいるとき、1ターンの間、
超系の味方全員のATK15%UP(1回のみ)",30001,1,12,[],0,100,1,"{""source"": ""805"", ""compiled"": 805}",2,1,"[15, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
300021,パラパラブラザーズ登場！,"バトル開始から3ターン目以降に、
HP88%以上のとき
1ターンの間、
敵全体の必殺技を封じる(1回のみ)",30002,1,4,[],0,100,1,"{""source"": ""806&866"", ""compiled"": [""&"", 806, 866]}",0,48,"[0, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
300041,心をひとつに！ピッコロとデンデ,"バトル開始から3ターン目に、
属性気玉のうちランダムで
体気玉以外の1種類を体気玉に変化させ、
1ターンの間「GT HERO」カテゴリの
味方全員のATKとDEF20%UP(1回のみ)",30004,1,1,[],0,100,1,"{""source"": ""806"", ""compiled"": 806}",0,67,"[15, 16, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
300042,心をひとつに！ピッコロとデンデ,"バトル開始から3ターン目に、
属性気玉のうちランダムで
体気玉以外の1種類を体気玉に変化させ、
1ターンの間「GT HERO」カテゴリの
味方全員のATKとDEF20%UP(1回のみ)",30004,1,2,[],180,100,1,"{""source"": ""806"", ""compiled"": 806}",2,3,"[20, 20, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
300051,悟空が子供に！？,"バトル開始から2ターンの間、
敵全体のATKとDEFを5%DOWNし、
「孫悟空の系譜」カテゴリの敵がいる場合、
更に敵全体のATKとDEFを
5%DOWNさせる(1回のみ)",30005,1,4,[],0,100,2,,3,3,"[5, 5, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
300052,悟空が子供に！？,"バトル開始から2ターンの間、
敵全体のATKとDEFを5%DOWNし、
「孫悟空の系譜」カテゴリの敵がいる場合、
更に敵全体のATKとDEFを
5%DOWNさせる(1回のみ)",30005,1,4,[],0,100,2,"{""source"": ""1222"", ""compiled"": 1222}",3,3,"[5, 5, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
300061,さらば悟空！！,"バトル中「GT HERO」カテゴリの
味方全員のATKとDEF10%UPし、
バトル開始から7ターンの間、
チームの名称に「孫悟空」を含むキャラ
(ギニュー、Jr.等を除く)の気力+1(1回のみ)",30006,1,2,[],180,100,-1,,2,3,"[10, 10, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
300062,さらば悟空！！,"バトル中「GT HERO」カテゴリの
味方全員のATKとDEF10%UPし、
バトル開始から7ターンの間、
チームの名称に「孫悟空」を含むキャラ
(ギニュー、Jr.等を除く)の気力+1(1回のみ)",30006,1,2,[],240,100,7,,0,5,"[1, 0, 0]",2024-05-13 02:07:25,2024-05-13 02:07:25
