id,category_type,invalid_genkai_gimmick_sub_category_ids,priority,created_at,updated_at
1,1,[1],100,2023-12-27 01:05:32,2023-12-27 01:05:32
2,1,[2],90,2023-12-27 01:05:32,2023-12-27 01:05:32
3,1,[3],80,2023-12-27 01:05:32,2023-12-27 01:05:32
4,2,[],70,2023-12-27 01:05:32,2023-12-27 01:05:32
5,2,[5],60,2023-12-27 01:05:32,2023-12-27 01:05:32
6,2,[],51,2023-12-27 01:05:32,2023-12-27 01:05:32
7,2,[7],50,2023-12-27 01:05:32,2023-12-27 01:05:32
8,2,[8],40,2023-12-27 01:05:32,2023-12-27 01:05:32
9,2,[],31,2023-12-27 01:05:32,2023-12-27 01:05:32
10,2,[10],30,2023-12-27 01:05:32,2023-12-27 01:05:32
11,2,[11],20,2023-12-27 01:05:32,2023-12-27 01:05:32
12,3,[],100,2023-12-27 01:05:32,2023-12-27 01:05:32
13,3,[13],90,2023-12-27 01:05:32,2023-12-27 01:05:32
14,4,[],100,2023-12-27 01:05:32,2023-12-27 01:05:32
15,4,[15],90,2023-12-27 01:05:32,2023-12-27 01:05:32
16,999,[],0,2023-12-27 01:05:32,2023-12-27 01:05:32
17,2,[],20,2023-12-27 01:05:32,2023-12-27 01:05:32
18,999,[18],10,2023-12-27 01:05:32,2023-12-27 01:05:32
19,2,[19],55,2023-12-27 01:05:32,2023-12-27 01:05:32
