id,description,rarity_n,rarity_r,rarity_sr,rarity_ssr,rarity_ur,rarity_lr,created_at,updated_at
7,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
8,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
9,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
10,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
11,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
12,追加ドロップ確率UP,30,50,100,150,200,300,2024-02-21 02:10:55,2024-02-21 02:10:55
13,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
14,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
15,追加ドロップ確率UP,50,100,150,200,300,350,2024-02-21 02:10:55,2024-02-21 02:10:55
16,追加ドロップ確率UP,40,70,150,200,300,450,2024-02-21 02:10:55,2024-02-21 02:10:55
17,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
18,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
19,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
20,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
21,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
22,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
23,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
24,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
25,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
26,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
27,追加ドロップ確率UP,60,100,200,300,350,400,2024-02-21 02:10:55,2024-02-21 02:10:55
28,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
29,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
30,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
31,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
32,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
33,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
34,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
35,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
36,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
37,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
38,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
39,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
40,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
41,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
42,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
43,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
44,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
45,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
46,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
47,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
48,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
49,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
50,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
51,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
52,追加ドロップ確率UP,40,70,150,200,300,450,2024-02-21 02:10:55,2024-02-21 02:10:55
53,追加ドロップ確率UP,20,30,50,80,130,180,2024-02-21 02:10:55,2024-02-21 02:10:55
54,追加抽選ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
100,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-21 02:10:55,2024-02-21 02:10:55
