id,name,description
1,SSR-速,ゼット覚醒ルート
2,SSR-技,ゼット覚醒ルート
3,SSR-力,ゼット覚醒ルート
4,SSR-体,ゼット覚醒ルート
5,SR-力,ゼット覚醒ルート
6,SR-技,ゼット覚醒ルート
7,SR-力,ゼット覚醒ルート
8,SR-速,ゼット覚醒ルート
9,SR-技,ゼット覚醒ルート
10,SR-速,ゼット覚醒ルート
11,SR-知,ゼット覚醒ルート
12,SR-知,ゼット覚醒ルート
13,SR-体,ゼット覚醒ルート
14,SR-体,ゼット覚醒ルート
15,R-知,ゼット覚醒ルート
16,R-速,ゼット覚醒ルート
17,R-体,ゼット覚醒ルート
18,R-技,ゼット覚醒ルート
19,R-速,ゼット覚醒ルート
20,R-体,ゼット覚醒ルート
21,R-力,ゼット覚醒ルート
22,R-技,ゼット覚醒ルート
23,R-知,ゼット覚醒ルート
24,R-力,ゼット覚醒ルート
25,N-知,ゼット覚醒ルート
26,N-力,ゼット覚醒ルート
27,N-知,ゼット覚醒ルート
28,[R-力]天津飯,未設定
29,[SSR-体]トランクス(ゼノ),未設定
30,なまえをいれてください,未設定
31,[SSR-体]ピッコロ,未設定
32,SR-力,未設定
33,[SSR-技]フリーザ(最終形態),未設定
34,[R-速]クリリン,未設定
35,なまえをいれてください,未設定
36,[R-速]バーダック,未設定
37,[SR-知]ベジータ(幼年期),未設定
38,SSR-知,ゼット覚醒ルート
39,なまえをいれてください,未設定
40,[R-体]クリリン(警官),未設定
41,[SR-知]超サイヤ人ゴッドSS孫悟空,未設定
42,なまえをいれてください,未設定
43,[SSR-速]超サイヤ人ゴッドSS孫悟空,未設定
44,なまえをいれてください,未設定
45,[R-速]プイプイ,未設定
46,[SSR-力]ゴールデンフリーザ,未設定
47,[SSR-技]ゴールデンフリーザ,未設定
48,[SSR-第一]ゴールデンフリーザ,ドッカン覚醒ルート
49,[SSR-第二]ゴールデンフリーザ,ドッカン覚醒ルート
50,[SSR-第三]ゴールデンフリーザ,ドッカン覚醒ルート
51,[SSR-最終]ゴールデンフリーザ,ドッカン覚醒ルート
52,[SSR-メカ]ゴールデンフリーザ,ドッカン覚醒ルート
53,フルパワーボージャック,ドッカン覚醒ルート
54,超サイヤ人孫悟飯(少年期),ドッカン覚醒ルート
55,チチ(少女期),ドッカン覚醒ルート
56,亀仙人(MAXパワー),ドッカン覚醒ルート
57,合体１３号,ドッカン覚醒ルート
58,クウラ,ドッカン覚醒ルート
59,グレートサイヤマン,ドッカン覚醒ルート
60,グレートサイヤマン2号,ドッカン覚醒ルート
61,超サイヤ人孫悟空,ドッカン覚醒ルート
62,超サイヤ人ゴッド孫悟空,ドッカン覚醒ルート
63,[SSR]神精樹の実,未設定
64,[SR]神精樹の実,未設定
65,[R]神精樹の実,未設定
66,まったなし! 超本気の超決戦ドッカン覚醒,ドッカン覚醒ルート
67,ブロリー,ドッカン覚醒ルート
68,伝説の超サイヤ人ブロリー,ドッカン覚醒ルート
69,メタルクウラ,未設定
70,ロボット兵,未設定
71,パーフェクトセルドッカン覚醒,ドッカン覚醒ルート
72,セル第一形態ドッカン覚醒,ドッカン覚醒ルート
73,魔人ブウ(純粋)ドッカン覚醒,ドッカン覚醒ルート
74,魔人ブウ(善)ドッカン覚醒,ドッカン覚醒ルート
75,スタートダッシュ悟空,ゼット覚醒ルート
76,スタートダッシュ悟飯,ゼット覚醒ルート
77,スタートダッシュピッコロ,ゼット覚醒ルート
78,超サイヤ人3孫悟空,ドッカン覚醒ルート
79,超サイヤ人孫悟空(天使),ドッカン覚醒ルート
80,[救済]超サイヤ人孫悟空,ドッカン覚醒ルート
81,[救済]超サイヤ人ベジータ,ドッカン覚醒ルート
82,[救済]ピッコロ,ドッカン覚醒ルート
83,超ゴジータドッカン覚醒,ドッカン覚醒ルート
