id,z_battle_first_reward_set_id,item_id,item_type,quantity,card_exp_init,created_at,updated_at
1,1,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
2,1,100001,AwakeningItem,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
3,1,1,PotentialItem,370,0,2017-11-08 10:30:53,2017-11-08 10:30:53
4,2,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
5,2,100001,AwakeningItem,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
6,2,6,PotentialItem,270,0,2017-11-08 10:30:53,2017-11-08 10:30:53
7,3,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
8,3,100001,AwakeningItem,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
9,3,11,PotentialItem,20,0,2017-11-08 10:30:53,2017-11-08 10:30:53
10,4,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
11,4,100001,AwakeningItem,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
12,4,1,PotentialItem,370,0,2017-11-08 10:30:53,2017-11-08 10:30:53
13,5,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
14,5,100001,AwakeningItem,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
15,5,6,PotentialItem,270,0,2017-11-08 10:30:53,2017-11-08 10:30:53
16,5,1012230,Card,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
17,6,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
18,6,100001,AwakeningItem,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
19,6,11,PotentialItem,20,0,2017-11-08 10:30:53,2017-11-08 10:30:53
20,7,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
21,7,100001,AwakeningItem,2,0,2017-11-08 10:30:53,2017-11-08 10:30:53
22,7,1,PotentialItem,370,0,2017-11-08 10:30:53,2017-11-08 10:30:53
23,8,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
24,8,100001,AwakeningItem,2,0,2017-11-08 10:30:53,2017-11-08 10:30:53
25,8,6,PotentialItem,270,0,2017-11-08 10:30:53,2017-11-08 10:30:53
26,9,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
27,9,100001,AwakeningItem,2,0,2017-11-08 10:30:53,2017-11-08 10:30:53
28,9,11,PotentialItem,20,0,2017-11-08 10:30:53,2017-11-08 10:30:53
29,10,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
30,10,100001,AwakeningItem,3,0,2017-11-08 10:30:53,2017-11-08 10:30:53
31,10,1,PotentialItem,370,0,2017-11-08 10:30:53,2017-11-08 10:30:53
32,10,6,PotentialItem,270,0,2017-11-08 10:30:53,2017-11-08 10:30:53
33,10,11,PotentialItem,20,0,2017-11-08 10:30:53,2017-11-08 10:30:53
34,10,1012230,Card,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
35,11,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
36,11,100002,AwakeningItem,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
37,11,1,PotentialItem,430,0,2017-11-08 10:30:53,2017-11-08 10:30:53
38,12,11,Point::Stone,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
39,12,100002,AwakeningItem,1,0,2017-11-08 10:30:53,2017-11-08 10:30:53
40,12,6,PotentialItem,330,0,2017-11-08 10:30:53,2017-11-08 10:30:53
41,13,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
42,13,100002,AwakeningItem,2,0,2017-11-08 10:30:54,2017-11-08 10:30:54
43,13,11,PotentialItem,30,0,2017-11-08 10:30:54,2017-11-08 10:30:54
44,14,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
45,14,100002,AwakeningItem,2,0,2017-11-08 10:30:54,2017-11-08 10:30:54
46,14,1,PotentialItem,430,0,2017-11-08 10:30:54,2017-11-08 10:30:54
47,15,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
48,15,100002,AwakeningItem,4,0,2017-11-08 10:30:54,2017-11-08 10:30:54
49,15,6,PotentialItem,330,0,2017-11-08 10:30:54,2017-11-08 10:30:54
50,15,1012230,Card,2,0,2017-11-08 10:30:54,2017-11-08 10:30:54
51,16,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
52,16,100002,AwakeningItem,4,0,2017-11-08 10:30:54,2017-11-08 10:30:54
53,16,11,PotentialItem,30,0,2017-11-08 10:30:54,2017-11-08 10:30:54
54,17,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
55,17,100002,AwakeningItem,5,0,2017-11-08 10:30:54,2017-11-08 10:30:54
56,17,1,PotentialItem,430,0,2017-11-08 10:30:54,2017-11-08 10:30:54
57,18,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
58,18,100002,AwakeningItem,6,0,2017-11-08 10:30:54,2017-11-08 10:30:54
59,18,6,PotentialItem,330,0,2017-11-08 10:30:54,2017-11-08 10:30:54
60,19,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
61,19,100002,AwakeningItem,7,0,2017-11-08 10:30:54,2017-11-08 10:30:54
62,19,11,PotentialItem,30,0,2017-11-08 10:30:54,2017-11-08 10:30:54
63,20,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
64,20,100002,AwakeningItem,8,0,2017-11-08 10:30:54,2017-11-08 10:30:54
65,20,1,PotentialItem,430,0,2017-11-08 10:30:54,2017-11-08 10:30:54
66,20,6,PotentialItem,330,0,2017-11-08 10:30:54,2017-11-08 10:30:54
67,20,11,PotentialItem,30,0,2017-11-08 10:30:54,2017-11-08 10:30:54
68,20,1012230,Card,2,0,2017-11-08 10:30:54,2017-11-08 10:30:54
69,21,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
70,21,100003,AwakeningItem,4,0,2017-11-08 10:30:54,2017-11-08 10:30:54
71,21,1,PotentialItem,500,0,2017-11-08 10:30:54,2017-11-08 10:30:54
72,22,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
73,22,100003,AwakeningItem,5,0,2017-11-08 10:30:54,2017-11-08 10:30:54
74,22,6,PotentialItem,400,0,2017-11-08 10:30:54,2017-11-08 10:30:54
75,23,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
76,23,100003,AwakeningItem,6,0,2017-11-08 10:30:54,2017-11-08 10:30:54
77,23,11,PotentialItem,40,0,2017-11-08 10:30:54,2017-11-08 10:30:54
78,24,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
79,24,100003,AwakeningItem,7,0,2017-11-08 10:30:54,2017-11-08 10:30:54
80,24,1,PotentialItem,500,0,2017-11-08 10:30:54,2017-11-08 10:30:54
81,25,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
82,25,100003,AwakeningItem,8,0,2017-11-08 10:30:54,2017-11-08 10:30:54
83,25,6,PotentialItem,400,0,2017-11-08 10:30:54,2017-11-08 10:30:54
84,25,1012230,Card,2,0,2017-11-08 10:30:54,2017-11-08 10:30:54
85,26,11,Point::Stone,1,0,2017-11-08 10:30:54,2017-11-08 10:30:54
86,26,100004,AwakeningItem,4,0,2017-11-08 10:30:54,2017-11-08 10:30:54
87,26,11,PotentialItem,40,0,2017-11-08 10:30:54,2017-11-08 10:30:54
88,27,11,Point::Stone,1,0,2017-11-08 10:30:55,2017-11-08 10:30:55
89,27,100004,AwakeningItem,5,0,2017-11-08 10:30:55,2017-11-08 10:30:55
