id,name,kana,priority,open_at,created_at,updated_at
1,フュージョン,ふゅーじょん,69700,2017-08-03 02:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
2,邪悪龍編,じゃあくりゅうへん,89400,2017-08-03 02:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
3,天下一武道会,てんかいちぶどうかい,39000,2017-07-25 03:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
4,ピチピチギャル,ぴちぴちぎゃる,79000,2017-07-25 03:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
5,混血サイヤ人,こんけつさいやじん,79900,2017-09-01 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
6,宇宙サバイバル編,うちゅうさばいばるへん,89500,2017-09-26 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
7,復活戦士,ふっかつせんし,29700,2017-09-29 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
8,神次元,かみじげん,60000,2017-10-08 05:50:00,2024-01-25 02:06:29,2024-01-25 02:06:29
9,魔人ブウ編,まじんぶうへん,89700,2017-10-31 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
10,ポタラ,ぽたら,69600,2017-11-14 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
11,下級戦士,かきゅうせんし,29950,2017-11-22 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
12,超サイヤ人3,すーぱーさいやじん3,69800,2017-11-22 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
13,巨大化,きょだいか,69500,2017-12-19 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
14,ナメック星編,なめっくせいへん,89900,2018-01-29 06:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
15,ギニュー特戦隊,ぎにゅーとくせんたい,40000,2018-02-21 06:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
16,劇場版BOSS,げきじょうばんBOSS,39200,2018-03-31 19:30:00,2024-01-25 02:06:29,2024-01-25 02:06:29
17,純粋サイヤ人,じゅんすいさいやじん,80000,2018-04-26 05:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
18,ナメック星人,なめっくせいじん,79700,2018-05-17 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
19,未来編,みらいへん,89600,2018-05-30 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
20,フルパワー,ふるぱわー,59900,2018-07-01 05:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
21,人造人間,じんぞうにんげん,79600,2018-07-31 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
22,第7宇宙代表,だい7うちゅうだいひょう,39700,2018-09-13 05:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
23,変身強化,へんしんきょうか,69400,2018-10-04 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
24,最凶の一族,さいきょうのいちぞく,79200,2018-10-31 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
25,ドラゴンボールを求めし者,どらごんぼーるをもとめしもの,29400,2018-10-31 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
26,時空を超えし者,じくうをこえしもの,29500,2018-11-29 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
27,第6宇宙,だい6うちゅう,39800,2019-04-01 08:00:00,2024-01-25 02:06:29,2024-01-25 02:06:29
