id,card_unique_info_id,card_unique_info_set_id,created_at,updated_at
1,112,5,2024-07-30 02:05:15,2024-07-30 02:05:15
2,112,8,2024-07-30 02:05:15,2024-07-30 02:05:15
3,411,5,2024-07-30 02:05:15,2024-07-30 02:05:15
4,411,8,2024-07-30 02:05:15,2024-07-30 02:05:15
5,402,8,2024-07-30 02:05:15,2024-07-30 02:05:15
6,6,8,2024-07-30 02:05:15,2024-07-30 02:05:15
7,80,8,2024-07-30 02:05:15,2024-07-30 02:05:15
8,56,12,2024-07-30 02:05:15,2024-07-30 02:05:15
9,229,12,2024-07-30 02:05:15,2024-07-30 02:05:15
10,8,12,2024-07-30 02:05:15,2024-07-30 02:05:15
11,311,12,2024-07-30 02:05:15,2024-07-30 02:05:15
12,444,12,2024-07-30 02:05:15,2024-07-30 02:05:15
13,78,5,2024-07-30 02:05:15,2024-07-30 02:05:15
14,78,8,2024-07-30 02:05:15,2024-07-30 02:05:15
15,341,8,2024-07-30 02:05:15,2024-07-30 02:05:15
16,495,5,2024-07-30 02:05:15,2024-07-30 02:05:15
17,495,8,2024-07-30 02:05:15,2024-07-30 02:05:15
18,10,1,2024-07-30 02:05:15,2024-07-30 02:05:15
19,414,1,2024-07-30 02:05:15,2024-07-30 02:05:15
20,499,1,2024-07-30 02:05:15,2024-07-30 02:05:15
21,22,6,2024-07-30 02:05:15,2024-07-30 02:05:15
22,22,7,2024-07-30 02:05:15,2024-07-30 02:05:15
23,504,6,2024-07-30 02:05:15,2024-07-30 02:05:15
24,504,7,2024-07-30 02:05:15,2024-07-30 02:05:15
25,20,6,2024-07-30 02:05:15,2024-07-30 02:05:15
26,82,10,2024-07-30 02:05:15,2024-07-30 02:05:15
27,83,9,2024-07-30 02:05:15,2024-07-30 02:05:15
28,84,2,2024-07-30 02:05:15,2024-07-30 02:05:15
29,496,2,2024-07-30 02:05:15,2024-07-30 02:05:15
30,457,2,2024-07-30 02:05:15,2024-07-30 02:05:15
31,246,2,2024-07-30 02:05:15,2024-07-30 02:05:15
32,231,11,2024-07-30 02:05:15,2024-07-30 02:05:15
33,244,12,2024-07-30 02:05:15,2024-07-30 02:05:15
34,79,4,2024-07-30 02:05:15,2024-07-30 02:05:15
