id,name,effect_description,condition_description,turn,exec_limit,causality_conditions,ultimate_special_id,special_view_id,costume_special_view_id,bgm_id
13,パンにおまかせ！,1ターン味方全員のATK33%UP,"バトル開始から3ターン目以降に発動可能
(1回のみ)",1,1,"{""source"": ""4"", ""compiled"": 4}",,4774,0,70.0
14,10倍かめはめ波,"一時的にATKが超大幅上昇し、
相手に究極ダメージを与える","バトル開始から4ターン目以降に発動可能
(1回のみ)",1,1,"{""source"": ""5"", ""compiled"": 5}",2.0,4821,0,58.0
15,ファイナルシャインアタック,"一時的にATKが超大幅上昇し、
相手に究極ダメージを与える","バトル開始から4ターン目以降に発動可能
(1回のみ)",1,1,"{""source"": ""5"", ""compiled"": 5}",2.0,4822,0,76.0
16,つらぬけーっ！！！！,相手に究極ダメージを与える,HP59%以下のとき発動可能(1回のみ),1,1,"{""source"": ""6"", ""compiled"": 6}",3.0,4945,0,82.0
17,親子三大かめはめ波,"一時的にATKが超大幅上昇し、
相手に究極ダメージを与える","バトル開始から3ターン目以降
&HP59%以下で敵が1体のとき発動可能
(1回のみ)",1,1,"{""source"": ""4 & 6 & 9"", ""compiled"": [""&"", 4, 6, 9]}",4.0,5044,0,88.0
18,カカロット,1ターン自身の気力+24、ATK48%UP,変身後に発動可能(1回のみ),1,1,"{""source"": ""10"", ""compiled"": 10}",,5065,0,87.0
19,奇跡の力,強化される,"次の攻撃参加ターンから発動可能
(1回のみ)",1,1,"{""source"": ""11"", ""compiled"": 11}",,5096,0,86.0
20,奇跡の力,強化される,"次の攻撃参加ターンから発動可能
(1回のみ)",1,1,"{""source"": ""11"", ""compiled"": 11}",,5096,0,86.0
21,異形の神,異形化する,"次の攻撃参加ターンから発動可能
(1回のみ)",1,1,"{""source"": ""11"", ""compiled"": 11}",,5105,0,85.0
22,異形の神,異形化する,"次の攻撃参加ターンから発動可能
(1回のみ)",1,1,"{""source"": ""11"", ""compiled"": 11}",,5105,0,85.0
23,激怒,激怒する,"バトル開始から5ターン目以降
&HP50%以下のとき発動可能
(1回のみ)",1,1,"{""source"": ""200 & 27"", ""compiled"": [""&"", 200, 27]}",,5214,0,79.0
24,激怒,激怒する,"バトル開始から5ターン目以降
&HP50%以下のとき発動可能
(1回のみ)",1,1,"{""source"": ""200 & 27"", ""compiled"": [""&"", 200, 27]}",,5214,0,79.0
25,悦楽のフリーザタイム,"相手に超特大ダメージを与え、
ATKとDEFを大幅低下させる","バトル開始から3ターン目以降
&敵が3体以上いるとき発動可能(1回のみ)",3,1,"{""source"": ""4 & 18"", ""compiled"": [""&"", 4, 18]}",5.0,5215,0,61.0
26,太陽系破壊かめはめ波,"一時的にATKが大幅上昇し、
相手に究極ダメージを与え、DEFを超大幅低下させる","進化後3ターン目以降、
敵が1体の時に発動可能(1回のみ)",3,1,"{""source"": ""9 & 296"", ""compiled"": [""&"", 9, 296]}",6.0,5439,0,90.0
27,覚醒,覚醒する,"HP58%以下のとき
チームに「人造人間16号」がいれば発動可能、
またはバトル開始から5ターン目以降、
HP58%以下のときチームか敵に「人造人間」
カテゴリのキャラクターがいれば発動可能
(1回のみ)",1,1,"{""source"": ""(239&354)|(200&239&(93|139))"", ""compiled"": [""|"", [""&"", 239, 354], [""&"", 200, 239, [""|"", 93, 139]]]}",,5422,0,91.0
28,覚醒,覚醒する,"HP58%以下のとき
チームに「人造人間16号」がいれば発動可能、
またはバトル開始から5ターン目以降、
HP58%以下のときチームか敵に「人造人間」
カテゴリのキャラクターがいれば発動可能
(1回のみ)",1,1,"{""source"": ""(239&354)|(200&239&(93|139))"", ""compiled"": [""|"", [""&"", 239, 354], [""&"", 200, 239, [""|"", 93, 139]]]}",,5422,0,91.0
29,神と融合,神と融合する,"バトル開始から4ターン目以降、
HP70%以上の時に自身の他に
チームに「ナメック星人」カテゴリの
味方がいれば発動可能(1回のみ)",1,1,"{""source"": ""5&252&165"", ""compiled"": [""&"", 5, 252, 165]}",,5356,0,73.0
30,神と融合,神と融合する,"バトル開始から4ターン目以降、
HP70%以上の時に自身の他に
チームに「ナメック星人」カテゴリの
味方がいれば発動可能(1回のみ)",1,1,"{""source"": ""5&252&165"", ""compiled"": [""&"", 5, 252, 165]}",,5356,0,73.0
31,交代,超トランクスに交代する,"バトル開始から3ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""4"", ""compiled"": 4}",,5371,0,
32,交代,超トランクスに交代する,"バトル開始から3ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""4"", ""compiled"": 4}",,5371,0,
33,交代,超サイヤ人孫悟飯(少年期)に交代する,"バトル開始から3ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""4"", ""compiled"": 4}",,5704,0,
34,交代,超サイヤ人孫悟飯(少年期)に交代する,"バトル開始から3ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""4"", ""compiled"": 4}",,5704,0,
35,交代,3ターンの間、人造人間16号に交代する,"HP66%以下のとき
チームに自身の他に「人造人間」カテゴリの
味方が2体以上いれば発動可能、
または名称に「セル」を含むキャラクター
(セルジュニア等を除く)が敵にいるとき
いつでも発動可能(1回のみ)",1,1,"{""source"": ""(286&287)|355"", ""compiled"": [""|"", [""&"", 286, 287], 355]}",,5765,0,92.0
36,交代,3ターンの間、人造人間16号に交代する,"HP66%以下のとき
チームに自身の他に「人造人間」カテゴリの
味方が2体以上いれば発動可能、
または名称に「セル」を含むキャラクター
(セルジュニア等を除く)が敵にいるとき
いつでも発動可能(1回のみ)",1,1,"{""source"": ""(286&287)|355"", ""compiled"": [""|"", [""&"", 286, 287], 355]}",,5765,0,92.0
37,変身,変身する,"バトル開始から3ターン目以降、
敵に「純粋サイヤ人」か「混血サイヤ人」が
いれば発動可能、
またはバトル開始から6ターン目以降、
敵が1体の時に発動可能(1回のみ)",1,1,"{""source"": ""(385&(386|387))|(388&9)"", ""compiled"": [""|"", [""&"", 385, [""|"", 386, 387]], [""&"", 388, 9]]}",,5894,0,93.0
38,変身,変身する,"バトル開始から3ターン目以降、
敵に「純粋サイヤ人」か「混血サイヤ人」が
いれば発動可能、
またはバトル開始から6ターン目以降、
敵が1体の時に発動可能(1回のみ)",1,1,"{""source"": ""(385&(386|387))|(388&9)"", ""compiled"": [""|"", [""&"", 385, [""|"", 386, 387]], [""&"", 388, 9]]}",,5894,0,93.0
39,元気玉,"相手に究極ダメージを与え、
1ターン仲間ATK30%UP","HP59%以下のとき
チームに自身の他に「第7宇宙代表」カテゴリの
味方が3体以上いれば発動可能(1回のみ)",1,1,"{""source"": ""401&402"", ""compiled"": [""&"", 401, 402]}",7.0,6047,0,98.0
40,ファイナルかめはめ波,"一時的にATKが大幅上昇し、
相手に究極ダメージを与える","次の攻撃参加ターン以降、
敵が1体で敵のHP50%以下のとき発動可能
(1回のみ)",1,1,"{""source"": ""11&476&477"", ""compiled"": [""&"", 11, 476, 477]}",8.0,6322,0,255.0
41,究極のかめはめ波,"一時的にATKが大幅上昇し、
相手に究極ダメージを与える","次の攻撃参加ターン以降、
敵が1体で敵のHP50%以下のとき発動可能
(1回のみ)",1,1,"{""source"": ""11&476&477"", ""compiled"": [""&"", 11, 476, 477]}",9.0,6323,0,256.0
42,魔封波,"一時的にATK628%UPしたダメージを与え、
発動したターン中、必ず会心が発動し、
攻撃した敵を気絶させ、自身のDEFが半減","バトル開始から3ターン目以降、
名称に「トランクス(青年期)(未来)」か
「トランクス(未来)」か「マイ(未来)」を含む
キャラが自身の他に攻撃参加中の味方にいるとき
発動可能(1回のみ)",1,1,"{""source"": ""494&(479|480|481)"", ""compiled"": [""&"", 494, [""|"", 479, 480, 481]]}",10.0,6324,0,
43,ギネの応援,"味方全員の状態異常をなおし、
2ターン味方全員のATK22%UP","バトル開始から4ターン目以降、
HP80%以下のとき発動可能(1回のみ)",2,1,"{""source"": ""492&493"", ""compiled"": [""&"", 492, 493]}",,6325,0,
44,激怒,激怒する,"バトル開始から6ターン目以降、
HP66%以下のとき発動可能
(1回のみ)",1,1,"{""source"": ""523&524"", ""compiled"": [""&"", 523, 524]}",,6436,0,105.0
45,激怒,激怒する,"バトル開始から6ターン目以降、
HP66%以下のとき発動可能
(1回のみ)",1,1,"{""source"": ""523&524"", ""compiled"": [""&"", 523, 524]}",,6436,0,105.0
46,変身,変身する,"バトル開始から4ターン目以降発動可能、
または「最凶の一族」カテゴリの敵がいるとき
いつでも発動可能(1回のみ)",1,1,"{""source"": ""549|550"", ""compiled"": [""|"", 549, 550]}",,6445,0,106.0
47,変身,変身する,"バトル開始から4ターン目以降発動可能、
または「最凶の一族」カテゴリの敵がいるとき
いつでも発動可能(1回のみ)",1,1,"{""source"": ""549|550"", ""compiled"": [""|"", 549, 550]}",,6445,0,106.0
48,逆鱗,"1ターン自身のATKとDEF50%UP、
全属性に効果抜群で攻撃し、
攻撃が必中する","バトル開始から4ターン目以降、
HP70%以下のとき発動可能(1回のみ)",1,1,"{""source"": ""571&572"", ""compiled"": [""&"", 571, 572]}",,6527,0,110.0
49,交代,超トランクスに交代する,"バトル開始から3ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""4"", ""compiled"": 4}",,5371,0,
50,交代,超トランクスに交代する,"バトル開始から3ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""4"", ""compiled"": 4}",,5371,0,
51,ナッパよけろーっ！！！,"1ターン自身のATKが50%DOWNし、
敵の攻撃を回避する","バトル開始から3ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""4"", ""compiled"": 4}",,6589,0,
52,変身,変身する,"変身後4ターン目以降、
HP70%以上のとき発動可能(1回のみ)",1,1,"{""source"": ""626&627"", ""compiled"": [""&"", 626, 627]}",,6606,0,81.0
53,変身,変身する,"変身後4ターン目以降、
HP70%以上のとき発動可能(1回のみ)",1,1,"{""source"": ""626&627"", ""compiled"": [""&"", 626, 627]}",,6606,0,81.0
54,吸収,魔人ブウ(善)を吸収する,"交代後4ターン目以降、
HP70%以上のとき発動可能(1回のみ)",1,1,"{""source"": ""628&629"", ""compiled"": [""&"", 628, 629]}",,6615,0,109.0
55,吸収,魔人ブウ(善)を吸収する,"交代後4ターン目以降、
HP70%以上のとき発動可能(1回のみ)",1,1,"{""source"": ""628&629"", ""compiled"": [""&"", 628, 629]}",,6615,0,109.0
56,ノリノリのアゲアゲ,"体気玉を力気玉へ変化させ、
1ターン全属性に効果抜群で攻撃","「純粋サイヤ人」か「宇宙サバイバル編」
カテゴリの敵がいるとき発動可能(1回のみ)",1,1,"{""source"": ""647|648"", ""compiled"": [""|"", 647, 648]}",,6730,0,113.0
57,全身全霊全力解放,"1ターン自身の気力+24、
ATK70%UP、DEF50%DOWN",HP50%以下のとき発動可能(1回のみ),1,1,"{""source"": ""673"", ""compiled"": 673}",,6865,0,114.0
58,強さこそ絶対,"1ターン自身のATKとDEF30%UP、
敵全体のATKとDEF30%DOWN、気絶させる","バトル中自身が5回以上攻撃を受けると発動可能
(1回のみ)",1,1,"{""source"": ""681"", ""compiled"": 681}",,6902,0,115.0
59,合体,ポタラで合体する,"バトル開始から4ターン目以降、
HP77%以下のとき発動可能(1回のみ)",1,1,"{""source"": ""713&684"", ""compiled"": [""&"", 713, 684]}",,7030,0,117.0
60,合体,ポタラで合体する,"バトル開始から4ターン目以降、
HP77%以下のとき発動可能(1回のみ)",1,1,"{""source"": ""713&684"", ""compiled"": [""&"", 713, 684]}",,7030,0,117.0
61,吸収,アルティメット孫悟飯を吸収する,"バトル開始から4ターン目以降、
HP50%以上で発動可能(1回のみ)",1,1,"{""source"": ""713&685"", ""compiled"": [""&"", 713, 685]}",,7032,0,89.0
62,吸収,アルティメット孫悟飯を吸収する,"バトル開始から4ターン目以降、
HP50%以上で発動可能(1回のみ)",1,1,"{""source"": ""713&685"", ""compiled"": [""&"", 713, 685]}",,7032,0,89.0
63,交代,交代する,"バトル開始から3ターン目以降、
敵が1体の時に敵のHP58%以上で発動可能
(1回のみ)",1,1,"{""source"": ""4&476&693"", ""compiled"": [""&"", 4, 476, 693]}",,7018,0,
64,交代,交代する,"バトル開始から3ターン目以降、
敵が1体の時に敵のHP58%以上で発動可能
(1回のみ)",1,1,"{""source"": ""4&476&693"", ""compiled"": [""&"", 4, 476, 693]}",,7018,0,
65,潜在能力解放,潜在能力が解放され強化される,"バトル開始から5ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""200"", ""compiled"": 200}",,7014,0,116.0
66,潜在能力解放,潜在能力が解放され強化される,"バトル開始から5ターン目以降発動可能
(1回のみ)",1,1,"{""source"": ""200"", ""compiled"": 200}",,7014,0,116.0
67,合体,ポタラで合体する,"攻撃参加ターンになると発動可能
(1回のみ)",1,1,"{""source"": ""10"", ""compiled"": 10}",,7015,0,
68,合体,ポタラで合体する,"攻撃参加ターンになると発動可能
(1回のみ)",1,1,"{""source"": ""10"", ""compiled"": 10}",,7015,0,
69,ベジータとカカロット,"1ターン自身のATK59%UP、
DEF78%UP、気力+1","バトル開始から3ターン目以降、
「魔人ブウ編」カテゴリの
名称に「孫悟空」を含むキャラが
攻撃参加中の味方にいるとき発動可能(1回のみ)",1,1,"{""source"": ""4&712"", ""compiled"": [""&"", 4, 712]}",,7233,0,118.0
70,ベジータとカカロット,"1ターン自身のATK59%UP、
DEF78%UP、気力+1","バトル開始から3ターン目以降、
「魔人ブウ編」カテゴリの
名称に「孫悟空」を含むキャラが
攻撃参加中の味方にいるとき発動可能(1回のみ)",1,1,"{""source"": ""4&712"", ""compiled"": [""&"", 4, 712]}",,7233,0,118.0
71,神精樹の実,1ターン自身の気力+24,"HP60%以下のとき、
またはバトル開始から8ターン目以降
発動可能(最大2回)",1,2,"{""source"": ""727|728"", ""compiled"": [""|"", 727, 728]}",,7392,0,120.0
72,神精樹の実,1ターン自身の気力+24,"HP60%以下のとき、
またはバトル開始から8ターン目以降
発動可能(最大2回)",1,2,"{""source"": ""727|728"", ""compiled"": [""|"", 727, 728]}",,7392,0,120.0
73,変身,変身する,"攻撃参加ターンになると発動可能
(1回のみ)",1,1,"{""source"": ""10"", ""compiled"": 10}",,7393,0,119.0
74,変身,変身する,"攻撃参加ターンになると発動可能
(1回のみ)",1,1,"{""source"": ""10"", ""compiled"": 10}",,7393,0,119.0
75,プラスエネルギー放出,"1ターン敵全体のATKとDEF40%DOWN、
自身のATKとDEF40%UP","バトル中自身が4回以上攻撃を受けると発動可能
(1回のみ)",1,1,"{""source"": ""746"", ""compiled"": 746}",,7434,0,121.0
76,父との約束,1ターン自身の気力+12、ATK59%UP,"バトル開始から5ターン目以降、
チームに「劇場版HERO」カテゴリの
名称に「孫悟空」を含むキャラ(少年期を除く)
がいるときHP58%以下で発動可能(1回のみ)",1,1,"{""source"": ""766&767&581"", ""compiled"": [""&"", 766, 767, 581]}",,7619,0,127.0
77,変身,変身する,"バトル開始から4ターン目以降、
敵が1体の時に発動可能(1回のみ)",1,1,"{""source"": ""713&476"", ""compiled"": [""&"", 713, 476]}",,7630,0,126.0
78,変身,変身する,"バトル開始から4ターン目以降、
敵が1体の時に発動可能(1回のみ)",1,1,"{""source"": ""713&476"", ""compiled"": [""&"", 713, 476]}",,7630,0,126.0
79,あの世一の達人,ターゲットした敵1体の攻撃ターンを1のばす,"バトル開始から4ターン目以降、
敵が1体で敵のHP50%以上のとき発動可能
(1回のみ)",1,1,"{""source"": ""713&525&788"", ""compiled"": [""&"", 713, 525, 788]}",,7697,0,128.0
80,変身,変身する,"バトル中自身が5回以上攻撃を受けると発動可能
(1回のみ)",1,1,"{""source"": ""785"", ""compiled"": 785}",,7698,0,129.0
81,変身,変身する,"バトル中自身が5回以上攻撃を受けると発動可能
(1回のみ)",1,1,"{""source"": ""785"", ""compiled"": 785}",,7698,0,129.0
82,怒りの一閃,"一時的にATKが大幅上昇し、
相手に究極ダメージを与える","バトル開始から4ターン目以降、
HP50%以上で発動可能(1回のみ)",1,1,"{""source"": ""713&685"", ""compiled"": [""&"", 713, 685]}",11.0,7725,0,130.0
83,ファイナルエクスプロージョン,敵全体に超極大ダメージを与える,"バトル開始から4ターン目以降、
HP50%以上で発動可能(1回のみ)",1,1,"{""source"": ""713&685"", ""compiled"": [""&"", 713, 685]}",12.0,7726,0,131.0
84,最大最強のかめはめ波,"一時的にATKが超大幅上昇し、
相手に究極ダメージを与える
&味方全員の気力+7","バトル中自身が7回以上攻撃を受け、
自身の他に攻撃参加中の「亀仙流」カテゴリの
味方がいるとき発動可能
(1回のみ)",1,1,"{""source"": ""802&803"", ""compiled"": [""&"", 802, 803]}",13.0,7845,0,114.0
85,第7宇宙の生存戦略,1ターン自身の気力+7、DEF77%UP、会心発動,"バトル中必殺技の発動が4回以上で発動可能
(1回のみ)",1,1,"{""source"": ""814"", ""compiled"": 814}",,7876,0,132.0
86,第7宇宙総攻撃,"一時的にATKが大幅上昇し、
相手に究極ダメージを与える
&1ターン味方全員の気力+7","チームの「第7宇宙代表」カテゴリの
味方が5体以上で、自身の他に攻撃参加中の
「第7宇宙代表」カテゴリの味方が2体以上で
敵が1体のとき、敵のHP50%以下で発動可能
(1回のみ)",1,1,"{""source"": ""812&815&476&477"", ""compiled"": [""&"", 812, 815, 476, 477]}",14.0,7877,0,133.0
87,狂戦士の破壊衝動,"1ターン自身の気力+6、ATK60%UPし、
全属性に効果抜群で攻撃","バトル中必殺技の発動が4回以上で発動可能
(1回のみ)",1,1,"{""source"": ""814"", ""compiled"": 814}",,7910,0,135.0
88,ヤンチャボーイ,1ターン自身の気力+6、敵の攻撃を回避する,"バトル開始から3ターン目以降、
名称に「トランクス(幼年期)」か
「孫悟天(幼年期)」を含むキャラが
自身の他に攻撃参加中の味方にいるとき発動可能
(1回のみ)",1,1,"{""source"": ""4&(819|820)"", ""compiled"": [""&"", 4, [""|"", 819, 820]]}",,7925,0,134.0
89,複雑な乙女心,"バトル中、自身のATKが20%UPし、
DEFが20%DOWN","バトル開始から4ターン目以降、
名称に「孫悟飯(青年期)」または
「アルティメット孫悟飯」(魔人ブウを除く)
または「グレートサイヤマン」(孫悟飯以外の
グレートサイヤマンを除く)を含む
キャラがチームにいる時発動可能(1回のみ)",99,1,"{""source"": ""713&(846|847|848)"", ""compiled"": [""&"", 713, [""|"", 846, 847, 848]]}",,8010,0,136.0
90,ふたりの勇者,"味方全員の状態異常をなおし、
2ターン味方全員の気力+3、ATKとDEF20%UP","バトル開始から4ターン目以降、
自身の他にチームに
「語り継がれし者」カテゴリのキャラと
「兄弟の絆」カテゴリのキャラがいるとき
発動可能(1回のみ)",2,1,"{""source"": ""713&851&852"", ""compiled"": [""&"", 713, 851, 852]}",,8037,0,137.0
91,邪悪龍覚醒,1ターン自身の気力+7、敵全体のATKとDEF30%DOWN,"バトル開始から7ターン目以降
発動可能(1回のみ)",1,1,"{""source"": ""867"", ""compiled"": 867}",,8038,0,143.0
