id,scene_name,description
1,CharacterMenuScene,メニューを選択して下さい。
2,TeamListScene,キャラクター枠をタップすると、キャラクター選択に移ります。
3,TeamMemberSelectScene,左上のZマークボタンを押すと編成からキャラを外せます。
4,TeamMemberPackSelectScene,1体から6体まで順番に編成できます。
5,CharacterSellScene,最大99体までまとめて売却できます。「サタン像選択」ボタンを押すと、サタン像をまとめて売却できます。
7,TrainingSelectPartnersScene,必殺技Lvアップの抽選は修業相手毎に行われます。修業キャラクターと同属性の修業相手を選択するとボーナスがつきます。
8,TrainingSelectItemsScene,修業アイテムを選択してください。同じアイテムであれば1種類につき最大10個まで使用することができます。
9,TrainingSelectFieldScene,「荒野」以外の修業場所は使用回数制限があります。修業場所はログインボーナスや冒険で手に入ります。
11,AwakenScene,覚醒に使用するメダルを選択して下さい。Z覚醒はキャラクターLv最大時のみ行えます。覚醒メダルを長押しすると獲得できるイベントに挑むことができます。
12,CharacterListScene,キャラクタータップで詳細を確認できます。詳細画面では、キャラクターをお気に入り登録することができます。
13,ItemBoxScene,所持している各種アイテムを確認することができます。
14,TrainingItemScene,タップで詳細を確認できます。
15,AwakenItemScene,タップで詳細を確認できます。
16,SupportItemScene,タップで詳細を確認できます。
17,EncyclopediaTopScene,獲得したことがあるキャラクターを確認できます。
18,GashaMenuScene,友情ポイントで友情ガシャ、龍石でレアガシャができます。
19,GashaResultScene,キャラクタータップで詳細を確認できます。
21,ShopMenuScene,龍石を購入することができます。未成年の方は親権者の同意をもらってから龍石を購入してください。
22,DragonBallListScene,ドラゴンボール収集状況です。未取得のドラゴンボールをタップすると落ちている場所が確認できます。
23,FriendMenuScene,フレンドメニューを選択して下さい。
24,FriendListScene,あなたのフレンド一覧です。フレンド数は上限があります。
25,FriendSearchScene,検索するユーザーのIDを入力して下さい。
26,FriendApprovalScene,フレンド申請は30件以上受け取れません。また30日以上経過すると、自動的に申請は拒否されます。
27,PresentScene,一度に表示されるプレゼントは100件までです。新しい順、古い順で並べ替えることが出来ます。
28,OtherMenuScene,メニューを選択して下さい。
29,LinkScene,外部サービスと連携しておくことで、データをバックアップしておくことができます。
30,SetOptionsScene,各種設定変更が行えます。
31,HelpListScene,メニューを選択して下さい。
32,HelpNameChangeScene,絵文字や全角10文字を超える場合は登録できません。
33,HelpPurchaseRecordScene,今月を含めた直近3ヶ月の購入履歴を確認できます。
34,HelpCopyrightScene,各種利用規約やコピーライトが確認できます。
35,AdventureWorldMapScene,冒険ではドラゴンボールを集めながら、ドッカンバトルオリジナルのストーリーを楽しむことができます。プレイするエリアを選択して下さい。
36,AdventureAreaMapScene,冒険したいステージを選択して下さい。巻物がついているステージには「界王神からの試練」があります。
37,SelectDifficultyBaseScene,冒険したい難易度を選択して下さい。難易度によって必要なACT、敵の強さ、報酬内容が異なります。巻物がついている難易度には「界王神からの試練」があります。
38,SelectCompanyBaseScene,一緒に冒険するフレンドを選択して下さい。
39,SelectTeamBaseScene,冒険開始前の最終確認です。左右にスワイプするとチームを変更できます。問題がなければ「挑む！」を押して下さい。
40,SelectTeamScene,冒険開始前の最終確認です。左右にスワイプするとチームを変更できます。問題がなければ「挑む！」を押して下さい。
41,TrainingMainScene,修業するためには、修業相手1体か修業アイテム1個以上セットしてください。
42,EventTopScene,イベントを選択して下さい。
43,EventQuestSelectScene,挑戦するイベントステージを選択して下さい。
44,MissionTopScene,各ミッションをタップすると、一覧が確認できます。赤丸の数字は、受取可能な報酬の数を示しています。
45,MissionSelectScene,詳細でミッション詳細を確認できます。達成済のものは、タップすることで報酬受取画面に移ります。
46,CollectionCardTopScene,キャラクタータップで図鑑に移ります。
47,CollectionUniqueCardScene,取得済のものは最大レベル時のパラメータが表示されます。Z覚醒未入手の場合は通常状態が表示されます。
48,TenkaichiHomeScene,「参加する」ボタンでトーナメントに参加します。ラウンド(予選や準決勝、決勝)を終えると、総合武道会ptに反映されます。
49,TenkaichiProgressComfirmScene,「リタイア」をすると参加中のトーナメントを終了し、獲得中の武道会ptが総合武道会ptに反映されます。
50,TenkaichiSelectCompanyScene,一緒にトーナメントに参加するフレンドを選択して下さい。
51,TenkaichiSelectTeamScene,最終確認画面です。トーナメント参加中はチームの変更ができず、参加中チーム編成も行えません。
52,TenkaichiRankScene,「武道会pt」によるランキングです。「ローカルランキング」は期間中に獲得した武道会ptによってランキングが変動します。また、ランキングは更新されるまで時間がかかる場合があります。
53,TenkaichiClassScene,現在のクラスを確認できます。クラスは「総合武道会pt」によって決定されます。
54,TenkaichiRewardScene,ランキングやミッションによる報酬内容を確認できます。ランキング報酬、ローカルランキング報酬の配布時期については「お知らせ」を確認して下さい。
55,TenkaichiHelpListScene,天下一武道会の遊び方を確認できます。メニューを選択して下さい。
56,TenkaichiHelpCategoryScene,確認したい項目を選択して下さい。
57,TenkaichiHelpDetailScene,「<<<」ボタンで一つ前の画面に戻ります。
58,SpecialItemScene,タップで詳細を確認できます。
59,ExchangeSelectScene,所持アイテムやキャラクターをコインや交換ptに換えることができます。
60,ExchangeAwakenItemScene,所持している覚醒メダルを交換ptに換えることができます。メダルによってレートが異なります。
61,ExchangeSupportItemScene,所持しているサポートアイテムを交換ptに換えることができます。アイテムによってレートが異なります。
62,ExchangeTrainingItemScene,所持している修業アイテムを交換ptに換えることができます。アイテムによってレートが異なります。
63,ExchangeCharacterScene,所有しているキャラクターを交換ptに換えることができます。キャラクターによってレートが異なります。
64,TradeExPointScene,交換ptを使ってアイテムを入手できます。交換ptは「＋」ボタンから増やすことができます。
65,TradeZeniScene,ゼニーを使ってアイテムを入手できます。商品が売り切れた場合、一定時間経過でまた一覧に並びます。
66,TradeTreasureItemScene,商品リストは、左右スワイプで切り替えが可能です。秘宝を使ってアイテムを入手できます。
67,DokkanAwakenListScene,ドッカン覚醒可能なキャラクター一覧です。キャラクタータップでドッカン覚醒に必要な覚醒メダルを確認できます。
68,TreasureItemScene,タップで詳細を確認できます。
