id,grow_type,lv,coef,created_at,updated_at
1,1,1,0.0,2017-11-14 01:43:04,2017-11-14 01:43:04
2,1,2,0.004,2017-11-14 01:43:04,2017-11-14 01:43:04
3,1,3,0.011,2017-11-14 01:43:04,2017-11-14 01:43:04
4,1,4,0.021,2017-11-14 01:43:04,2017-11-14 01:43:04
5,1,5,0.036,2017-11-14 01:43:04,2017-11-14 01:43:04
6,1,6,0.055,2017-11-14 01:43:04,2017-11-14 01:43:04
7,1,7,0.08,2017-11-14 01:43:04,2017-11-14 01:43:04
8,1,8,0.109,2017-11-14 01:43:04,2017-11-14 01:43:04
9,1,9,0.145,2017-11-14 01:43:04,2017-11-14 01:43:04
10,1,10,0.186,2017-11-14 01:43:04,2017-11-14 01:43:04
11,1,11,0.234,2017-11-14 01:43:04,2017-11-14 01:43:04
12,1,12,0.289,2017-11-14 01:43:04,2017-11-14 01:43:04
13,1,13,0.351,2017-11-14 01:43:04,2017-11-14 01:43:04
14,1,14,0.42,2017-11-14 01:43:04,2017-11-14 01:43:04
15,1,15,0.496,2017-11-14 01:43:04,2017-11-14 01:43:04
16,1,16,0.581,2017-11-14 01:43:04,2017-11-14 01:43:04
17,1,17,0.673,2017-11-14 01:43:04,2017-11-14 01:43:04
18,1,18,0.773,2017-11-14 01:43:04,2017-11-14 01:43:04
19,1,19,0.882,2017-11-14 01:43:04,2017-11-14 01:43:04
20,1,20,1.0,2017-11-14 01:43:04,2017-11-14 01:43:04
21,2,1,0.0,2017-11-14 01:43:04,2017-11-14 01:43:04
22,2,2,0.001,2017-11-14 01:43:04,2017-11-14 01:43:04
23,2,3,0.002,2017-11-14 01:43:04,2017-11-14 01:43:04
24,2,4,0.005,2017-11-14 01:43:04,2017-11-14 01:43:04
25,2,5,0.01,2017-11-14 01:43:04,2017-11-14 01:43:04
26,2,6,0.018,2017-11-14 01:43:04,2017-11-14 01:43:04
27,2,7,0.029,2017-11-14 01:43:04,2017-11-14 01:43:04
28,2,8,0.046,2017-11-14 01:43:04,2017-11-14 01:43:04
29,2,9,0.067,2017-11-14 01:43:04,2017-11-14 01:43:04
30,2,10,0.096,2017-11-14 01:43:04,2017-11-14 01:43:04
31,2,11,0.132,2017-11-14 01:43:04,2017-11-14 01:43:04
32,2,12,0.177,2017-11-14 01:43:04,2017-11-14 01:43:04
33,2,13,0.231,2017-11-14 01:43:04,2017-11-14 01:43:04
34,2,14,0.297,2017-11-14 01:43:04,2017-11-14 01:43:04
35,2,15,0.376,2017-11-14 01:43:04,2017-11-14 01:43:04
36,2,16,0.468,2017-11-14 01:43:04,2017-11-14 01:43:04
37,2,17,0.575,2017-11-14 01:43:04,2017-11-14 01:43:04
38,2,18,0.698,2017-11-14 01:43:04,2017-11-14 01:43:04
39,2,19,0.839,2017-11-14 01:43:04,2017-11-14 01:43:04
40,2,20,1.0,2017-11-14 01:43:04,2017-11-14 01:43:04
41,3,1,0.0,2017-11-14 01:43:04,2017-11-14 01:43:04
42,3,2,0.0,2017-11-14 01:43:04,2017-11-14 01:43:04
43,3,3,0.0,2017-11-14 01:43:04,2017-11-14 01:43:04
44,3,4,0.0,2017-11-14 01:43:04,2017-11-14 01:43:04
45,3,5,0.001,2017-11-14 01:43:04,2017-11-14 01:43:04
46,3,6,0.003,2017-11-14 01:43:04,2017-11-14 01:43:04
47,3,7,0.006,2017-11-14 01:43:04,2017-11-14 01:43:04
48,3,8,0.012,2017-11-14 01:43:04,2017-11-14 01:43:04
49,3,9,0.021,2017-11-14 01:43:04,2017-11-14 01:43:04
50,3,10,0.035,2017-11-14 01:43:04,2017-11-14 01:43:04
51,3,11,0.055,2017-11-14 01:43:04,2017-11-14 01:43:04
52,3,12,0.084,2017-11-14 01:43:04,2017-11-14 01:43:04
53,3,13,0.124,2017-11-14 01:43:04,2017-11-14 01:43:04
54,3,14,0.177,2017-11-14 01:43:04,2017-11-14 01:43:04
55,3,15,0.247,2017-11-14 01:43:04,2017-11-14 01:43:04
56,3,16,0.337,2017-11-14 01:43:04,2017-11-14 01:43:04
57,3,17,0.453,2017-11-14 01:43:04,2017-11-14 01:43:04
58,3,18,0.598,2017-11-14 01:43:04,2017-11-14 01:43:04
59,3,19,0.779,2017-11-14 01:43:04,2017-11-14 01:43:04
60,3,20,1.0,2017-11-14 01:43:04,2017-11-14 01:43:04
61,10,1,0.0,2017-11-14 01:43:04,2017-11-14 01:43:04
62,10,2,0.001,2017-11-14 01:43:04,2017-11-14 01:43:04
63,10,3,0.002,2017-11-14 01:43:04,2017-11-14 01:43:04
64,10,4,0.004,2017-11-14 01:43:04,2017-11-14 01:43:04
65,10,5,0.007,2017-11-14 01:43:04,2017-11-14 01:43:04
