id,achievement_category_id,name,description,rarity,width,height,text_color,frame_image_name,link_to,priority,open_at,end_at,created_at,updated_at
1,8,暗雲うずまく異次元世界,"冒険 Area1の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:1,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
2,8,出現! 究極の生命体!!,"冒険 Area2の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:2,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
3,8,戦士たちへのメッセージ,"冒険 Area3の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:3,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
4,8,宇宙の帝王と惑星戦士,"冒険 Area4の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:4,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
5,8,恐怖のギニュー特戦隊,"冒険 Area5の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:5,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
6,8,烈戦! 人造人間!!,"冒険 Area6の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:6,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
7,8,強襲! サイヤ人!!,"冒険 Area7の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:7,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
8,8,激神フリーザ!,"冒険 Area8の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:8,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
9,8,目覚めしサイヤ人の王子,"冒険 Area9の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:9,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
10,8,レッドリボン軍の暗躍,"冒険 Area10の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:10,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
11,8,未知のサイヤ人,"冒険 Area11の全難易度で
すべてのステージをクリア",0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:11,1,2022-01-11 03:00:00,2030-01-01 00:00:00,2024-07-30 02:04:59,2024-07-30 02:04:59
