id,budokai_id,mission_type,name,priority,target_value,prev_budokai_mission_id
1,3,1,1回優勝しよう,0,1,
2,3,1,2回優勝しよう,0,2,1.0
3,3,1,3回優勝しよう,0,3,2.0
4,3,1,4回優勝しよう,0,4,3.0
5,3,1,5回優勝しよう,0,5,4.0
6,3,1,7回優勝しよう,0,7,5.0
7,3,1,10回優勝しよう,0,10,6.0
8,3,1,15回優勝しよう,0,15,7.0
9,3,1,20回優勝しよう,0,20,8.0
10,3,1,30回優勝しよう,0,30,9.0
11,3,1,50回優勝しよう,0,50,10.0
12,3,1,70回優勝しよう,0,70,11.0
13,3,1,100回優勝しよう,0,100,12.0
14,3,2,チャパ王クラスに到達しよう,0,2,
15,3,2,サタンクラスに到達しよう,0,3,14.0
16,3,2,ビーデルクラスに到達しよう,0,4,15.0
17,3,2,武天老師クラスに到達しよう,0,5,16.0
18,3,2,カリンクラスに到達しよう,0,6,17.0
19,3,2,神クラスに到達しよう,0,7,18.0
20,3,2,閻魔大王クラスに到達しよう,0,8,19.0
21,3,2,界王クラスに到達しよう,0,9,20.0
22,3,2,界王神クラスに到達しよう,0,10,21.0
23,3,2,老界王神クラスに到達しよう,0,11,22.0
24,3,2,ビルスクラスに到達しよう,0,12,23.0
25,4,1,1回優勝しよう,0,1,
26,4,1,2回優勝しよう,0,2,25.0
27,4,1,3回優勝しよう,0,3,26.0
28,4,1,4回優勝しよう,0,4,27.0
29,4,1,5回優勝しよう,0,5,28.0
30,4,1,6回優勝しよう,0,6,29.0
31,4,1,7回優勝しよう,0,7,30.0
32,4,1,10回優勝しよう,0,10,31.0
33,4,1,11回優勝しよう,0,11,32.0
34,4,1,12回優勝しよう,0,12,33.0
35,4,1,13回優勝しよう,0,13,34.0
36,4,1,14回優勝しよう,0,14,35.0
37,4,1,15回優勝しよう,0,15,36.0
38,4,1,16回優勝しよう,0,16,37.0
39,4,1,17回優勝しよう,0,17,38.0
40,4,1,18回優勝しよう,0,18,39.0
41,4,1,19回優勝しよう,0,19,40.0
42,4,1,20回優勝しよう,0,20,41.0
43,4,1,30回優勝しよう,0,30,42.0
44,4,1,50回優勝しよう,0,50,43.0
45,4,1,70回優勝しよう,0,70,44.0
46,4,1,100回優勝しよう,0,100,45.0
47,4,2,チャパ王クラスに到達しよう,0,2,
48,4,2,サタンクラスに到達しよう,0,3,47.0
49,4,2,ビーデルクラスに到達しよう,0,4,48.0
50,4,2,武天老師クラスに到達しよう,0,5,49.0
51,4,2,カリンクラスに到達しよう,0,6,50.0
52,4,2,神クラスに到達しよう,0,7,51.0
53,4,2,閻魔大王クラスに到達しよう,0,8,52.0
54,4,2,界王クラスに到達しよう,0,9,53.0
55,4,2,界王神クラスに到達しよう,0,10,54.0
56,4,2,老界王神クラスに到達しよう,0,11,55.0
57,4,2,ビルスクラスに到達しよう,0,12,56.0
58,5,1,1回優勝しよう,0,1,
59,5,1,2回優勝しよう,0,2,58.0
60,5,1,3回優勝しよう,0,3,59.0
61,5,1,4回優勝しよう,0,4,60.0
62,5,1,5回優勝しよう,0,5,61.0
63,5,1,6回優勝しよう,0,6,62.0
64,5,1,7回優勝しよう,0,7,63.0
65,5,1,10回優勝しよう,0,10,64.0
66,5,1,11回優勝しよう,0,11,65.0
67,5,1,12回優勝しよう,0,12,66.0
68,5,1,13回優勝しよう,0,13,67.0
69,5,1,14回優勝しよう,0,14,68.0
70,5,1,15回優勝しよう,0,15,69.0
71,5,1,16回優勝しよう,0,16,70.0
72,5,1,17回優勝しよう,0,17,71.0
73,5,1,18回優勝しよう,0,18,72.0
74,5,1,19回優勝しよう,0,19,73.0
75,5,1,20回優勝しよう,0,20,74.0
76,5,1,30回優勝しよう,0,30,75.0
77,5,1,50回優勝しよう,0,50,76.0
78,5,1,60回優勝しよう,0,60,77.0
79,5,1,70回優勝しよう,0,70,78.0
80,5,1,80回優勝しよう,0,80,79.0
81,5,1,100回優勝しよう,0,100,80.0
82,5,2,チャパ王クラスに到達しよう,0,2,
83,5,2,サタンクラスに到達しよう,0,3,82.0
84,5,2,ビーデルクラスに到達しよう,0,4,83.0
85,5,2,武天老師クラスに到達しよう,0,5,84.0
86,5,2,カリンクラスに到達しよう,0,6,85.0
87,5,2,神クラスに到達しよう,0,7,86.0
88,5,2,閻魔大王クラスに到達しよう,0,8,87.0
89,5,2,界王クラスに到達しよう,0,9,88.0
90,5,2,界王神クラスに到達しよう,0,10,89.0
