id,param_no,idx,value
1,1,0,5000
2,101,0,2
3,101,1,3
4,101,2,80
5,101,3,1
8,102,0,50
9,102,1,243
10,102,2,32
11,102,3,32
12,102,4,100
13,102,5,3
14,102,6,2
15,102,7,1904
16,102,8,3000
17,102,9,3001
18,102,10,3002
21,501,0,2
22,501,1,3
23,501,2,80
24,501,3,1
27,502,0,50
28,502,1,243
29,502,2,32
30,502,3,32
31,502,4,100
32,502,5,3
33,502,6,2
34,502,7,1904
35,502,8,3000
36,502,9,3001
37,502,10,3002
40,511,0,2
41,511,1,3
42,511,2,50
43,511,3,1
46,512,0,50
47,512,1,243
48,512,2,32
49,512,3,32
50,512,4,100
51,512,5,3
52,512,6,2
53,512,7,1904
54,512,8,3000
55,512,9,3001
56,512,10,3002
59,521,0,2
60,521,1,3
61,521,2,20
62,521,3,1
65,522,0,50
66,522,1,243
67,522,2,32
68,522,3,32
69,522,4,100
70,522,5,3
71,522,6,2
72,522,7,1904
73,522,8,3000
74,522,9,3001
75,522,10,3002
78,101,4,1
79,501,4,1
80,511,4,1
81,521,4,1
82,1001,0,1
83,1001,1,1
84,1001,2,100
85,1001,3,1
88,1001,4,1
89,1002,0,50
90,1002,1,224
91,1002,2,17
92,1002,3,255
93,1002,4,83
94,1002,5,0
95,1002,6,86
96,1002,7,3006
97,1002,8,3003
98,1002,9,3004
99,1002,10,3005
102,531,0,2
103,531,1,3
104,531,2,80
105,531,3,1
108,531,4,1
109,532,0,50
110,532,1,243
111,532,2,32
112,532,3,32
113,532,4,100
114,532,5,3
115,532,6,2
116,532,7,1904
117,532,8,3000
118,532,9,3001
119,532,10,3002
122,541,0,2
123,541,1,3
124,541,2,80
125,541,3,1
128,541,4,1
129,542,0,50
130,542,1,243
131,542,2,32
132,542,3,32
133,542,4,100
134,542,5,3
135,542,6,2
136,542,7,1904
137,542,8,3000
138,542,9,3001
139,542,10,3002
142,551,0,2
143,551,1,3
144,551,2,50
145,551,3,1
148,551,4,1
149,552,0,50
150,552,1,243
151,552,2,32
152,552,3,32
153,552,4,100
154,552,5,3
155,552,6,2
156,552,7,1904
157,552,8,3000
158,552,9,3001
159,552,10,3002
162,111,0,2
163,111,1,3
164,111,2,80
165,111,3,1
168,111,4,1
169,112,0,50
170,112,1,243
171,112,2,32
172,112,3,32
173,112,4,100
174,112,5,3
175,112,6,2
176,112,7,1904
177,112,8,3000
178,112,9,3001
179,112,10,3002
182,121,0,2
183,121,1,3
184,121,2,50
185,121,3,1
188,121,4,1
189,122,0,50
190,122,1,243
191,122,2,32
192,122,3,32
193,122,4,100
194,122,5,3
195,122,6,2
196,122,7,3010
197,122,8,3007
198,122,9,3008
199,122,10,3009
202,2,0,1
203,2,1,3
204,2,2,1000
205,2,3,648
206,2,4,360
207,2,5,360
208,2,6,360
209,2,7,864
210,2,8,800
211,2,9,3800
212,2,10,2000
213,2,11,2000
214,2,12,1200
215,2,13,500
216,2,14,400
217,2,15,420
218,2,16,380
219,2,17,340
220,2,18,1000
221,2,19,500
222,2,20,1000
223,2,21,1800
224,2,22,1000
225,2,23,1500
226,2,24,1800
227,2,25,1000
228,2,26,500
229,2,27,1000
230,2,28,1000
231,2,29,1000
232,2,30,1000
233,2,31,1800
234,2,32,1000
235,2,33,1000
236,2,34,500
237,2,35,2000
238,2,36,1100
239,2,37,1200
240,2,38,1200
241,2,39,1200
242,2,40,2160
243,2,41,1000
244,2,42,1000
245,2,43,1000
246,2,44,1800
247,2,45,500
248,2,46,1000
249,2,47,1000
250,2,48,1800
251,2,49,700
252,2,50,500
253,2,51,1000
254,2,52,2400
255,2,53,10
256,2,54,10
257,2,55,10
258,2,56,10
259,2,57,0
260,2,58,0
261,2,59,850
262,2,60,0
263,2,61,0
264,2,62,0
269,2,63,1000
270,2,64,1000
271,2,65,1080
272,2,66,1000
273,2,67,1000
274,2,68,0
275,2,69,800
276,2,70,0
277,2,71,0
278,2,72,0
279,2000,0,30
280,2000,1,3
281,561,0,2
282,561,1,3
283,561,2,80
284,561,3,1
287,561,4,1
288,562,0,50
289,562,1,243
290,562,2,32
291,562,3,32
292,562,4,100
293,562,5,3
