id,name,description,exec_timing_type,calc_option,turn,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,is_eternal
1,ダメージ軽減,ダメージを軽減する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,24,55,0,,1
2,ダメージ軽減解除,ダメージ軽減解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,1,1.0,1
3,必殺技封じ無効,必殺技を封じる効果を無効化する,1,0,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,14,0,0,,1
4,必殺技封じ無効解除,必殺技を封じ無効解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,3,1.0,1
5,ATK&DEF強化,ATKとDEFが急上昇する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,23,130,300,,1
6,ATK&DEF強化解除,ATKとDEFが急上昇する解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,5,1.0,1
10,ランダム気玉変化,全ての気の玉をランダムに変化させる,1,0,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,1,0,0,0,0,6,0,0,,1
11,ランダム気玉変化解除,ランダム気玉変化解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,1,0,0,0,0,22,18,10,1.0,1
12,ATK強化,ATKが急上昇する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,23,15,0,,1
13,ATK強化解除,ATK強化解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,12,1.0,1
20,ATK＆DEFダウン無効,ATK＆DEFダウンを無効化,1,0,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,13,3,0,,1
21,ATK＆DEFダウン無効解除,ATK＆DEFダウンを無効化解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,20,1.0,1
30,ATK&DEF強化,ATKとDEFが急上昇する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,23,20,20,,1
31,ATK&DEF強化解除,ATKとDEFが急上昇する解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,5,1.0,1
40,ダメージ軽減,ダメージを軽減する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,24,0,0,,1
41,ダメージ軽減解除,ダメージ軽減解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,40,1.0,1
42,ATK＆DEFダウン無効,ATK＆DEFダウンを無効化,1,0,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,13,3,0,,1
43,ATK＆DEFダウン無効解除,ATK＆DEFダウンを無効化解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,42,1.0,1
44,必殺技封じ無効,必殺技を封じる効果を無効化する,1,0,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,14,0,0,,1
45,必殺技封じ無効解除,必殺技を封じ無効解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,44,1.0,1
46,気絶無効,気絶状態にならない,1,0,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,10,0,0,,1
47,気絶無効解除,気絶無効解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,46,1.0,1
50,DEF強化,DEFが急上昇する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,23,0,20,,1
51,DEF強化解除,DEFが急上昇する解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,50,1.0,1
60,ATK強化,ATKが急上昇する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,23,20,0,,1
61,ATK強化解除,ATK強化解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,60,1.0,1
62,ダメージ軽減,ダメージを軽減する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,24,80,0,,1
63,ダメージ軽減解除,ダメージ軽減解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,61,1.0,1
64,ATK強化,ATKが急上昇する,1,2,1,100,"{""source"": ""3076"", ""compiled"": 3076}",0,4,0,0,0,0,23,20,0,,1
65,ATK強化解除,ATK強化解除,18,0,1,100,"{""source"": ""3077"", ""compiled"": 3077}",0,4,0,0,0,0,22,18,62,1.0,1
