id,name,description,increase_rate,aim_target
2,LR超サイヤ人4孫悟空・ベジータ用,究極ダメージ+100%,650,0
3,孫悟空(少年期)用,究極ダメージを与える,550,0
4,LR悟飯&悟天用,究極ダメージ+100%,650,0
5,フリーザ(第二形態)用,"超特大ダメージを与える
(技レベル15相当)",430,0
6,LRパーフェクトセル用,究極ダメージ+50%,600,0
7,SSGSS孫悟空(界王拳)用,"究極ダメージを与える
(1ターン仲間ATK30%UPあり)",520,0
8,SSGSSベジット用,究極ダメージ+50%,600,0
9,SSGSSゴジータ用,究極ダメージ+50%,600,0
10,トランクス(未来)&マイ(未来)用,628%ダメージ,628,0
11,孫悟空(身勝手の極意)用,究極ダメージ+50%,600,0
12,SSGSSベジータ(進化)用,敵全体に超極大ダメージ,440,1
13,亀仙人用,究極ダメージ+100%,650,0
14,17号用,究極ダメージ+50%,600,0
15,超サイヤ人孫悟空(GT)用,究極ダメージ+100%,650,0
16,超サイヤ人ベジータ(GT)用,究極ダメージ+100%,650,0
17,超17号用,究極ダメージを与える,550,0
18,桃白白用,究極ダメージ+100%,650,0
19,界王拳,究極ダメージを与える,550,0
20,界王拳,究極ダメージ+30%,580,0
21,Wドッカン超サイヤ人孫悟空,究極ダメージ+50%,600,0
22,Wドッカンフリーザ(フルパワー),究極ダメージ+50%,600,0
23,フュージョン(7周年Wドッカン),究極ダメージを与える,550,0
24,ウルトラビッグバンかめはめ波(7周年Wドッカン),究極ダメージを与える,550,0
25,芭蕉扇,究極ダメージ+50%,600,0
26,願いをこめた元気玉,究極ダメージ+50%,600,0
27,ファイナルエクスプロージョン(サイヤ),敵全体に超極大ダメージ+50%,490,1
28,ラディッツの制裁,究極ダメージ+50%,600,0
29,栽培マンアタック,究極ダメージを与える,550,0
30,魔貫光殺砲,究極ダメージ+50%,600,0
31,フルパワー親子かめはめ波,究極ダメージ+100%,650,0
32,アースブレイカー,敵全体に超極大+100%,540,1
33,親子ギャリック砲,究極ダメージ+100%,650,0
34,さようなら天さん,究極ダメージを与える,550,0
35,絶対のいかずち,究極ダメージ+100%,650,0
36,とっておきのかめはめ波,究極ダメージ+50%,600,0
37,スーパーノヴァ,究極ダメージ+50%,600,0
38,超サイヤ人怒る！！！,究極ダメージ+50%,600,0
39,生命エネルギー吸収,究極ダメージ+50%,600,0
40,不可能を可能にする力,究極ダメージ,550,0
41,怒りのかめはめ波,800%ダメージ,800,0
42,ファイナルスピリッツキャノン,究極ダメージを与える,550,0
43,最大出力かめはめ波,610%ダメージ,610,0
44,特大繰気弾,究極ダメージ,550,0
45,魔貫光殺砲,究極ダメージ+50%,600,0
46,フルパワー一斉攻撃,究極ダメージ+100%,650,0
47,元気玉,究極ダメージ+100%,650,0
48,満月の出来事,究極ダメージ+100%,650,0
49,ゴッドの世界を吸収したサイヤ人,究極ダメージ,550,0
50,リベンジデスボンバー,究極ダメージ+100%,650,0
51,超爆裂魔波,敵全体に超極大ダメージ+100%,540,1
52,プラネットゲイザー,究極ダメージ+100%,650,0
53,サイヤ人にふさわしい生き方をしろ！,究極ダメージ+50%,600,0
54,スーパー元気玉,究極ダメージ+100%,650,0
55,マイナスエネルギーパワーボール,究極ダメージ+50%,600,0
56,ゴッドインパクト,究極ダメージ,550,0
57,地獄を生き抜いた男,究極ダメージ+50%,600,0
58,地獄を生き抜いた男,究極ダメージ+100%,650,0
59,アナザーホープ,究極ダメージ+100%,650,0
60,ギャラクシーエターナルソード,究極ダメージ+50%,600,0
61,アブソリュートリリースボール,究極ダメージ+100%,650,0
62,元気玉超サイヤ人,究極ダメージ+100%,650,0
63,ヘルズバスター,究極ダメージ+50%,600,0
64,オレにどこまでついてこれるかな？,究極ダメージ+100%,650,0
65,この宇宙で最高のショー,究極ダメージ,550,0
66,ビッグ・バン・アタック,究極ダメージ+100%,650,0
67,破壊玉,究極ダメージ+100%,650,0
68,フルパワーかめはめ波,究極ダメージ+100%,650,0
69,お菓子光線,究極ダメージ+100%,650,0
70,爆裂ラッシュ,究極ダメージ,550,0
71,スクリームエクスプロージョン,究極ダメージ+100%,650,0
