id,budokai_help_category_id,num,title,description
1,1,1000,基本ルール,<ここは表示されません>
2,1,990,トーナメントへの参加,<ここは表示されません>
3,1,980,武道会pt,<ここは表示されません>
4,1,970,ランキング,<ここは表示されません>
5,1,960,クラスとリーグ,<ここは表示されません>
6,2,950,すごろくの進め方,<ここは表示されません>
7,2,940,発生イベント,<ここは表示されません>
8,2,930,すごろくでの獲得物,<ここは表示されません>
9,2,920,すごろく終了契機,<ここは表示されません>
10,3,910,バトルの進め方,<ここは表示されません>
11,3,900,バトルでの獲得pt,<ここは表示されません>
12,3,890,バトル終了契機,<ここは表示されません>
13,4,880,報酬と獲得物,<ここは表示されません>
14,4,870,ランキング報酬,<ここは表示されません>
15,4,860,ミッション報酬,<ここは表示されません>
16,1,850,フレンド,<ここは表示されません>
17,1,840,ポイントボーナス,<ここは表示されません>
18,1,830,ローカルランキング,<ここは表示されません>
19,4,820,ローカルランキング報酬,<ここは表示されません>
20,1,810,連覇達成ボーナス,<ここは表示されません>
21,1,800,意気込み,<ここは表示されません>
