id,label_name,grow_type,lv,image_number,point_total
100001,孫悟空(少年期),1,1,1,0
100002,孫悟空(少年期),1,2,2,50
100003,孫悟空(少年期)(大猿),1,3,3,120
100004,孫悟空(少年期),1,4,4,200
100005,孫悟空(少年期),1,5,5,300
100006,孫悟空(少年期),1,6,6,400
100007,孫悟空(少年期),1,7,7,500
100008,孫悟空(少年期),1,8,8,600
100009,孫悟空,1,9,9,777
100010,孫悟空,1,10,10,900
100011,孫悟空,1,11,11,1050
100012,孫悟空,1,12,12,1250
101001,孫悟空(少年期),2,1,1,0
101002,孫悟空(少年期)&チチ(少女期),2,2,13,50
101003,孫悟空(少年期)(大猿),2,3,3,120
101004,孫悟空(少年期),2,4,4,200
101005,孫悟空(少年期),2,5,5,300
101006,孫悟空(少年期)&チチ(少女期),2,6,14,400
101007,孫悟空(少年期),2,7,7,500
101008,孫悟空(少年期),2,8,8,600
101009,孫悟空,2,9,9,777
101010,孫悟空&チチ,2,10,15,900
101011,孫悟空&チチ,2,11,16,1050
101012,孫悟空&チチ,2,12,17,1250
102001,孫悟空&孫悟飯(幼年期),3,1,1,0
102002,孫悟空(天使),3,2,2,50
102003,孫悟空(天使)&バブルス,3,3,3,120
102004,孫悟空,3,4,4,200
102005,孫悟空(界王拳),3,5,5,300
102006,孫悟空,3,6,6,450
102007,孫悟空,3,7,7,550
102008,孫悟空,3,8,8,650
102009,孫悟空&フリーザ(最終形態),3,9,9,750
102010,孫悟空,3,10,10,900
102011,孫悟空,3,11,11,1000
102012,超サイヤ人孫悟空,3,12,12,1250
103001,孫悟空&孫悟飯(幼年期),4,1,1,0
103002,孫悟飯(幼年期),4,2,2,50
103003,孫悟飯(幼年期)&ピッコロ,4,3,3,100
103004,孫悟飯(幼年期)(大猿),4,4,4,200
103005,孫悟飯(幼年期)&ピッコロ,4,5,5,300
103006,孫悟飯(幼年期)&ピッコロ,4,6,6,450
103007,孫悟飯(幼年期),4,7,7,500
103008,孫悟飯(幼年期)&クリリン,4,8,8,600
103009,孫悟飯(幼年期)&クリリン&デンデ,4,9,9,720
103010,孫悟飯(幼年期),4,10,10,900
103011,孫悟飯(幼年期)&ピッコロ,4,11,11,1050
103012,孫悟飯(幼年期)&デンデ,4,12,12,1250
