id,max_point,seconds_per_cure_one_point,start_at,end_at
1,3,28800,2022-09-18 15:00:00,2022-09-22 14:59:59
2,5,18000,2024-01-25 15:00:00,2024-01-28 14:59:59
3,3,28800,2024-01-28 15:00:00,2024-02-01 14:59:59
4,5,18000,2024-02-01 15:00:00,2024-02-04 14:59:59
5,3,28800,2024-02-04 15:00:00,2024-02-08 14:59:59
6,5,18000,2024-02-08 15:00:00,2024-02-11 14:59:59
7,3,28800,2024-02-11 15:00:00,2024-02-15 14:59:59
8,5,18000,2024-02-15 15:00:00,2024-02-18 14:59:59
9,3,28800,2024-02-18 15:00:00,2024-02-22 14:59:59
10,5,18000,2024-02-22 15:00:00,2024-02-25 14:59:59
11,3,28800,2024-02-25 15:00:00,2024-02-29 14:59:59
12,5,18000,2024-02-29 15:00:00,2024-03-03 14:59:59
13,3,28800,2024-03-03 15:00:00,2030-01-01 14:59:59
14,5,18000,2023-09-14 15:00:00,2023-09-17 14:59:59
15,3,28800,2023-09-17 15:00:00,2023-09-21 14:59:59
16,5,18000,2023-09-21 15:00:00,2023-09-24 14:59:59
17,3,28800,2023-09-24 15:00:00,2023-09-28 14:59:59
18,5,18000,2023-09-28 15:00:00,2023-10-01 14:59:59
19,3,28800,2023-10-01 15:00:00,2024-01-11 14:59:59
20,5,18000,2024-01-11 15:00:00,2024-01-14 14:59:59
21,3,28800,2024-01-14 15:00:00,2024-01-18 14:59:59
22,5,18000,2024-01-18 15:00:00,2024-01-21 14:59:59
23,3,28800,2024-01-21 15:00:00,2024-01-25 14:59:59
24,5,18000,2022-12-03 15:00:00,2022-12-04 14:59:59
25,3,28800,2022-12-04 15:00:00,2022-12-10 14:59:59
26,5,18000,2022-12-10 15:00:00,2022-12-11 14:59:59
27,3,28800,2022-12-11 15:00:00,2022-12-17 14:59:59
28,5,18000,2022-12-17 15:00:00,2022-12-18 14:59:59
29,3,28800,2022-12-18 15:00:00,2022-12-24 14:59:59
30,5,18000,2022-12-24 15:00:00,2022-12-25 14:59:59
31,3,28800,2022-12-25 15:00:00,2022-12-31 14:59:59
32,5,18000,2022-12-31 15:00:00,2023-01-01 14:59:59
33,3,28800,2023-01-01 15:00:00,2023-01-07 14:59:59
34,5,18000,2023-01-07 15:00:00,2023-01-08 14:59:59
35,3,28800,2023-01-08 15:00:00,2023-01-14 14:59:59
36,5,18000,2023-01-14 15:00:00,2023-01-15 14:59:59
37,3,28800,2023-01-15 15:00:00,2023-01-21 14:59:59
38,5,18000,2023-01-21 15:00:00,2023-01-22 14:59:59
39,3,28800,2023-01-22 15:00:00,2023-01-27 05:59:59
40,5,18000,2023-01-27 06:00:00,2023-01-29 14:59:59
41,3,28800,2023-01-29 15:00:00,2023-02-02 14:59:59
42,5,18000,2023-02-02 15:00:00,2023-02-05 14:59:59
43,3,28800,2023-02-05 15:00:00,2023-02-09 14:59:59
44,5,18000,2023-02-09 15:00:00,2023-02-12 14:59:59
45,3,28800,2023-02-12 15:00:00,2023-02-16 14:59:59
46,5,18000,2023-02-16 15:00:00,2023-02-19 14:59:59
47,3,28800,2023-02-19 15:00:00,2023-02-23 14:59:59
48,5,18000,2023-02-23 15:00:00,2023-02-26 14:59:59
49,3,28800,2023-02-26 15:00:00,2023-03-02 14:59:59
50,5,18000,2023-03-02 15:00:00,2023-03-05 14:59:59
51,3,28800,2023-03-05 15:00:00,2023-06-15 14:59:59
