id,name,race,sex,size
1,超サイヤ人孫悟空,0,0,4
2,超サイヤ人ベジータ,0,0,3
3,孫悟空,0,0,4
4,ベジータ,0,0,3
5,フリーザ(第一形態),0,0,2
6,セル(第一形態),0,0,7
7,孫悟飯(幼年期),0,0,1
8,トランクス(青年期),0,0,4
9,クリリン,0,0,2
10,ピッコロ,0,0,6
11,天津飯,0,0,5
12,餃子,0,0,1
13,ヤムチャ,0,0,5
14,ラディッツ,0,0,4
15,ナッパ,0,0,7
16,ザーボン,0,0,7
17,ギニュー,0,0,5
18,人造人間19号,0,0,4
19,ドクター・ゲロ,0,0,4
20,人造人間18号,0,0,3
21,人造人間17号,0,0,3
22,人造人間16号,0,0,7
23,亀仙人,0,0,2
24,桃白白,0,0,4
25,合体ピラフマシン,0,0,8
26,シェン,0,0,2
27,タンバリン,0,0,5
28,シンバル,0,0,5
29,ドラム,0,0,5
30,ドドリア,0,0,5
31,リクーム,0,0,6
32,グルド,0,0,1
33,バータ,0,0,8
34,ジース,0,0,3
35,ヤジロベー,0,0,3
36,ネイル,0,0,6
37,チチ,0,0,3
38,ミスター・サタン,0,0,5
39,ビーデル,0,0,3
40,セルジュニア,0,0,1
41,スポポビッチ,0,0,6
42,ヤムー,0,0,3
43,ヤコン,0,0,8
44,プイプイ,0,0,4
45,アプール,0,0,4
46,キュイ,0,0,4
47,バビディの部下,0,0,4
48,プンター,0,0,5
49,ジュエール,0,0,4
50,キーラ,0,0,5
51,海賊ロボ,0,0,8
52,栽培マン,0,0,1
53,フリーザ兵,0,0,4
54,RR軍兵,0,0,3
55,ミスター・サタン,0,0,5
56,ピッコロ,0,0,6
57,孫悟空(界王拳),0,0,4
58,フリーザ(第一形態)(ポッド),0,0,4
59,ベジータ(幼年期),0,0,1
60,孫悟飯(幼年期),0,0,1
61,ベジータ(悪),0,0,3
62,サイボーグ桃白白,0,0,4
63,孫悟飯(じいちゃん),0,0,4
64,ベジータ王,0,0,4
65,鶴仙人,0,0,2
66,超サイヤ人2孫悟空,0,0,4
67,バーダック,0,0,4
68,フリーザ(最終形態),0,0,3
69,超サイヤ人トランクス(青年期),0,0,4
70,セリパ,0,0,3
71,フリーザ(第二形態),0,0,8
72,フリーザ(第三形態),0,0,4
73,スーパーザーボン,0,0,4
74,ギニュー(孫悟空),0,0,4
75,孫悟飯(戦闘服),0,0,2
76,クリリン(戦闘服),0,0,2
77,トーマ,0,0,5
78,トテッポ,0,0,6
79,パンプーキン,0,0,6
80,パイクーハン,0,0,4
81,超サイヤ人バーダック,0,0,4
82,トランクスゼノ,0,0,4
83,チルド,0,0,4
113,キュウコンマン,0,0,4
116,RR軍ロボット1_速,0,0,9
120,RR軍ロボット2_速,0,0,9
124,メタリック軍曹_速,0,0,9
139,フリーザ兵1_速,0,0,4
144,フリーザ兵2_速,0,0,4
149,フリーザ兵3_速,0,0,4
157,フリーザ兵4_速,0,0,4
159,フリーザ兵5_速,0,0,4
164,オニオン_速,0,0,9
169,ブロッコ_速,0,0,9
199,超サイヤ人孫悟飯(少年期),0,0,1
200,トランクス(幼年期),0,0,4
202,パーフェクトセル,0,0,4
203,超サイヤ人2孫悟飯(少年期),0,0,4
204,セル第2形態,0,0,4
205,セル完全体,0,0,4
206,孫悟空,0,0,4
207,超サイヤ人2ベジータ,0,0,4
208,超トランクス,0,0,4
209,超サイヤ人孫悟飯(未来),0,0,4
210,孫悟飯(青年期),0,0,4
211,トランクス(青年期),0,0,4
212,ヤムチャ(短髪),0,0,4
213,コルド大王,0,0,4
214,マイティマスク,0,0,4
215,ジャッキー・チュン,0,0,3
216,トランクス(少年期)(未来),0,0,4
217,メカフリーザ,0,0,3
218,ベジータ(悪)(スカウターあり),0,0,2
225,孫悟天(幼年期),0,0,4
226,ミスター・サタン,0,0,5
227,超サイヤ人3孫悟空,0,0,4
228,魔人ベジータ,0,0,4
229,魔人ブウ,0,0,4
230,魔人ブウ(純粋悪）,0,0,4
231,魔人ブウ(悪),0,0,4
232,魔人ブウ(純粋),0,0,4
233,ダーブラ,0,0,4
234,ビーデル(少女期),0,0,4
235,アルティメット孫悟飯,0,0,4
236,ウーブ(少年期),0,0,4
237,パン(幼年期),0,0,4
238,バビディ,0,0,4
239,超サイヤ人ゴッドSS孫悟空,0,0,4
240,超サイヤ人ゴッドSSベジータ,0,0,4
241,ゴールデンフリーザ,0,0,4
242,ビルス,0,0,4
243,ウイス,0,0,4
244,孫悟空,0,0,4
245,ベジータ,0,0,4
247,ソルベ,0,0,4
248,タゴマ,0,0,4
249,クリリン,0,0,4
250,孫悟飯,0,0,4
251,超サイヤ人孫悟飯,0,0,4
252,ジャコ,0,0,4
253,亀仙人(MAXパワー),0,0,4
254,ブロリー,0,0,4
255,超サイヤ人ブロリー,0,0,4
256,伝説の超サイヤ人ブロリー ,0,0,7
257,天津飯,0,0,5
