id,budokai_box_ranking_id,start_value,end_value,created_at,updated_at
9,1,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
10,1,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
11,1,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
12,1,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
13,1,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
14,1,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
15,2,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
16,2,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
17,2,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
18,2,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
19,2,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
20,2,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
171001,171,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
171002,171,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
171004,171,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
171011,171,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
171021,171,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
171051,171,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
171101,171,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
171151,171,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
171201,171,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
181001,181,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
181002,181,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
181004,181,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
181011,181,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
181021,181,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
181051,181,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
181101,181,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
181151,181,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
181201,181,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
191001,191,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
191002,191,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
191004,191,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
191011,191,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
191021,191,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
191051,191,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
191101,191,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
191151,191,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
191201,191,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
201001,201,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
201002,201,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
201004,201,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
201011,201,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
201021,201,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
201051,201,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
201101,201,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
201151,201,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
201201,201,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
211001,211,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
211002,211,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
211004,211,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
211011,211,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
211021,211,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
211051,211,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
211101,211,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
211151,211,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
211201,211,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
221001,221,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
221002,221,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
221004,221,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
221011,221,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
221021,221,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
221051,221,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
221101,221,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
221151,221,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
221201,221,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
231001,231,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
231002,231,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
231004,231,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
231011,231,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
231021,231,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
231051,231,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
231101,231,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
231151,231,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
231201,231,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
231251,231,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
241001,241,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
241002,241,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
241004,241,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
241011,241,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
241021,241,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
241051,241,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
241101,241,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
241151,241,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
241201,241,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
241251,241,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
251001,251,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
251002,251,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
251004,251,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
251011,251,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
251021,251,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
251051,251,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
251101,251,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
251151,251,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
251201,251,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
251251,251,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
261001,261,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
261002,261,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
261004,261,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
261011,261,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
261021,261,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
261051,261,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
261101,261,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
261151,261,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
261201,261,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
261251,261,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
271001,271,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
271002,271,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
271004,271,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
271011,271,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
271021,271,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
271051,271,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
271101,271,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
271151,271,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
271201,271,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
271251,271,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
281001,281,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
281002,281,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
281004,281,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
281011,281,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
281021,281,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
281051,281,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
281101,281,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
281151,281,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
281201,281,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
281251,281,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
291001,291,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
291002,291,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
291004,291,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
291011,291,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
291021,291,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
291051,291,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
291101,291,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
291151,291,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
291201,291,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
291251,291,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
301001,301,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
301002,301,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
301004,301,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
301011,301,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
301021,301,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
301051,301,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
301101,301,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
301151,301,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
301201,301,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
301251,301,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
311001,311,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
311002,311,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
311004,311,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
311011,311,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
311021,311,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
311051,311,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
311101,311,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
311151,311,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
311201,311,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
311251,311,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
321001,321,1,1,2024-06-17 02:02:12,2024-06-17 02:02:12
321002,321,2,3,2024-06-17 02:02:12,2024-06-17 02:02:12
321004,321,4,10,2024-06-17 02:02:12,2024-06-17 02:02:12
321011,321,11,20,2024-06-17 02:02:12,2024-06-17 02:02:12
321021,321,21,50,2024-06-17 02:02:12,2024-06-17 02:02:12
321051,321,51,100,2024-06-17 02:02:12,2024-06-17 02:02:12
321101,321,101,150,2024-06-17 02:02:12,2024-06-17 02:02:12
321151,321,151,200,2024-06-17 02:02:12,2024-06-17 02:02:12
321201,321,201,250,2024-06-17 02:02:12,2024-06-17 02:02:12
321251,321,251,300,2024-06-17 02:02:12,2024-06-17 02:02:12
