id,enemy_skill_id,link_skill_id,created_at,updated_at
100,1,1000,2024-07-23 00:24:19,2024-07-23 00:24:19
200,2,1001,2024-07-23 00:24:19,2024-07-23 00:24:19
300,3,1003,2024-07-23 00:24:19,2024-07-23 00:24:19
600,6,50,2024-07-23 00:24:19,2024-07-23 00:24:19
700,7,29,2024-07-23 00:24:19,2024-07-23 00:24:19
1200,12,1004,2024-07-23 00:24:19,2024-07-23 00:24:19
20000,200,109,2024-07-23 00:24:19,2024-07-23 00:24:19
30000,300,1000,2024-07-23 00:24:19,2024-07-23 00:24:19
65000,650,103,2024-07-23 00:24:19,2024-07-23 00:24:19
70000,700,95,2024-07-23 00:24:19,2024-07-23 00:24:19
71000,710,95,2024-07-23 00:24:19,2024-07-23 00:24:19
72000,720,95,2024-07-23 00:24:19,2024-07-23 00:24:19
96000,96001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
96001,96008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
96002,96014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
96003,96017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
100000,100001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
100001,100008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
100002,100014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
100003,100017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
101000,101001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
101001,101008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
101002,101015,125,2024-07-23 00:24:19,2024-07-23 00:24:19
101003,101018,125,2024-07-23 00:24:19,2024-07-23 00:24:19
102001,102001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
102002,102008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
102003,102014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
102004,102017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
105000,105001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
105001,105008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
105002,105014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
105003,105017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
107000,107001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
107001,107008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
107002,107014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
107003,107017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
108000,108001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
108001,108008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
108002,108014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
108003,108017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
109001,109001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
109002,109008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
109003,109014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
109004,109017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
110000,1100,1001,2024-07-23 00:24:19,2024-07-23 00:24:19
111000,1110,1001,2024-07-23 00:24:19,2024-07-23 00:24:19
111001,111001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
111002,111008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
111003,111014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
111004,111017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
113001,113001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
113002,113008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
113003,113014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
113004,113017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
118001,118001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
118002,118008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
118003,118014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
118004,118017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
120000,1200,19,2024-07-23 00:24:19,2024-07-23 00:24:19
121000,1210,30,2024-07-23 00:24:19,2024-07-23 00:24:19
122000,1220,42,2024-07-23 00:24:19,2024-07-23 00:24:19
124000,1240,34,2024-07-23 00:24:19,2024-07-23 00:24:19
124001,124001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
124002,124008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
124003,124014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
124004,124017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
126000,1260,52,2024-07-23 00:24:19,2024-07-23 00:24:19
127000,1270,52,2024-07-23 00:24:19,2024-07-23 00:24:19
127001,127001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
127002,127008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
127003,127014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
127004,127017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
128001,128001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
128002,128008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
128003,128014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
128004,128017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
130000,1300,66,2024-07-23 00:24:19,2024-07-23 00:24:19
130001,130001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
130002,130008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
130003,130014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
130004,130017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
131000,1310,66,2024-07-23 00:24:19,2024-07-23 00:24:19
131001,131001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
131002,131008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
131003,131014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
131004,131017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
132000,1320,66,2024-07-23 00:24:19,2024-07-23 00:24:19
133000,1330,66,2024-07-23 00:24:19,2024-07-23 00:24:19
133001,133001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
133002,133008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
133003,133014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
133004,133017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
134001,134001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
134002,134008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
134003,134014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
134004,134017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
135001,135001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
135002,135008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
135003,135014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
135004,135017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
137001,137001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
137002,137008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
137003,137014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
137004,137017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
140000,1400,40,2024-07-23 00:24:19,2024-07-23 00:24:19
140001,140001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
140002,140008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
140003,140014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
140004,140017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
141000,1410,40,2024-07-23 00:24:19,2024-07-23 00:24:19
141001,141001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
141002,141008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
141003,141014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
141004,141017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
142000,1420,40,2024-07-23 00:24:19,2024-07-23 00:24:19
143000,1430,40,2024-07-23 00:24:19,2024-07-23 00:24:19
145001,145001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
145002,145008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
145003,145014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
145004,145017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
146001,146001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
146002,146008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
146003,146014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
146004,146017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
148001,148001,125,2024-07-23 00:24:19,2024-07-23 00:24:19
148002,148008,125,2024-07-23 00:24:19,2024-07-23 00:24:19
148003,148014,125,2024-07-23 00:24:19,2024-07-23 00:24:19
148004,148017,125,2024-07-23 00:24:19,2024-07-23 00:24:19
160000,1600,79,2024-07-23 00:24:19,2024-07-23 00:24:19
