id,passive_skill_set_id,passive_skill_id
10000,1,1
20000,2,2
30000,3,3
40000,4,4
40001,4,1000004
50000,5,5
60000,6,6
70000,7,7
80000,8,8
90000,9,9
100000,10,10
100001,10,1000010
110000,11,11
110001,11,1000011
120000,12,12
130000,13,13
140000,14,14
150000,15,15
160000,16,16
160001,16,1000016
170000,17,17
180000,18,18
190000,19,19
200000,20,20
210000,21,21
220000,22,22
230000,23,23
240000,24,24
250000,25,25
260000,26,26
270000,27,27
280000,28,28
290000,29,29
300000,30,30
310000,31,31
320000,32,32
330000,33,33
340000,34,34
350000,35,35
360000,36,36
370000,37,37
380000,38,38
390000,39,39
400000,40,40
410000,41,41
420000,42,42
430000,43,43
440000,44,44
450000,45,45
460000,46,46
470000,47,47
480000,48,48
490000,49,49
500000,50,50
510000,51,51
520000,52,52
530000,53,53
540000,54,54
550000,55,55
560000,56,56
570000,57,57
580000,58,58
590000,59,59
600000,60,60
610000,61,61
620000,62,62
630000,63,63
640000,64,64
650000,65,65
660000,66,66
660001,66,1000066
670000,67,67
680000,68,68
690000,69,69
700000,70,70
710000,71,71
720000,72,72
720001,72,1000072
730000,73,73
740000,74,74
740001,74,1000074
750000,75,75
760000,76,76
770000,77,77
780000,78,78
780001,78,1000078
790000,79,79
800000,80,80
810000,81,81
820000,82,82
830000,83,83
840000,84,84
840001,84,1000084
850000,85,85
860000,86,86
870000,87,87
880000,88,88
890000,89,89
900000,90,90
910000,91,91
920000,92,92
930000,93,93
940000,94,94
950000,95,95
960000,96,96
970000,97,97
980000,98,98
990000,99,99
1000000,100,100
1010000,101,101
1020000,102,102
1030000,103,103
1040000,104,104
1050000,105,105
1060000,106,106
1070000,107,107
1080000,108,108
1090000,109,109
1100000,110,110
1110000,111,111
1120000,112,112
1130000,113,113
1140000,114,114
1150000,115,115
1160000,116,116
1160001,116,1000116
1170000,117,117
1180000,118,118
1190000,119,119
1200000,120,120
1210000,121,121
1220000,122,122
1230000,123,123
1240000,124,124
1240001,124,1000124
1250000,125,125
1260000,126,126
1270000,127,127
1280000,128,128
1290000,129,129
1300000,130,130
1310000,131,131
1320000,132,132
1330000,133,133
1340000,134,134
1350000,135,135
1360000,136,136
1370000,137,137
1380000,138,138
1390000,139,139
1400000,140,140
1410000,141,141
1420000,142,142
1430000,143,143
1440000,144,144
1450000,145,145
1460000,146,146
1470000,147,147
1480000,148,148
1490000,149,149
1500000,150,150
1510000,151,151
1520000,152,152
1530000,153,153
1540000,154,154
1550000,155,155
1550001,155,1000155
1560000,156,156
1570000,157,157
1580000,158,158
1590000,159,159
1600000,160,160
1610000,161,161
1620000,162,162
1630000,163,163
1640000,164,164
1650000,165,165
1660000,166,166
1670000,167,167
1680000,168,168
1690000,169,169
1700000,170,170
1710000,171,171
1720000,172,172
1730000,173,173
1740000,174,174
1750000,175,175
1760000,176,176
1770000,177,177
1780000,178,178
1790000,179,179
1800000,180,180
1800001,180,1000180
1810000,181,181
1820000,182,182
1820001,182,1000182
1830000,183,183
1840000,184,184
1850000,185,185
1860000,186,186
1870000,187,187
1880000,188,188
1890000,189,189
1900000,190,190
1910000,191,191
1920000,192,192
1930000,193,193
1940000,194,194
1950000,195,195
1960000,196,196
1970000,197,197
1980000,198,198
1990000,199,199
2000000,200,200
2000001,200,1000200
2010000,201,201
2020000,202,202
2030000,203,203
2040000,204,204
2050000,205,205
2060000,206,206
2070000,207,207
2080000,208,208
2090000,209,209
2100000,210,210
2110000,211,211
2120000,212,212
2130000,213,213
2140000,214,214
2150000,215,215
2160000,216,216
2160001,216,1000216
2170000,217,217
2170001,217,1000217
2180000,218,218
2190000,219,219
2200000,220,220
2210000,221,221
2220000,222,222
2230000,223,223
2240000,224,224
2250000,225,225
2260000,226,226
2270000,227,227
2280000,228,228
2290000,229,229
2300000,230,230
2310000,231,231
2320000,232,232
2330000,233,233
2340000,234,234
