id,condition_set_id,condition_id
1,1,1
2,1,2
3,1,3
4,2,4
5,3,5
6,4,5
7,4,6
8,5,5
9,5,2
10,5,3
11,6,7
12,6,8
13,6,9
14,7,1
15,7,10
16,7,11
17,8,12
18,8,10
19,8,9
20,9,13
21,9,5
22,9,6
23,10,13
24,10,5
25,10,2
26,11,14
27,11,5
28,11,2
29,11,3
30,12,14
31,12,5
32,12,2
33,13,15
34,13,5
35,13,2
36,14,13
37,14,5
38,15,15
39,15,5
40,15,6
41,16,15
42,16,5
43,16,2
44,16,3
45,17,14
46,17,16
47,17,10
48,17,11
49,18,17
50,18,16
51,18,10
52,18,11
53,19,18
54,19,16
55,19,10
56,19,11
57,20,17
58,20,5
59,20,2
60,20,3
61,21,18
62,21,5
63,21,2
64,21,3
65,22,18
66,22,12
67,22,19
68,22,9
69,23,18
70,23,7
71,23,8
72,23,9
73,24,20
74,24,21
75,24,22
76,25,20
77,26,23
78,26,24
79,26,22
80,27,20
81,27,21
82,28,23
83,28,24
84,28,25
85,29,13
86,29,20
87,29,21
88,30,14
89,30,20
90,30,21
91,30,22
92,31,14
93,31,20
94,31,21
95,32,15
96,32,20
97,32,21
98,33,13
99,33,20
100,34,15
101,34,20
102,34,21
103,34,22
104,35,26
105,35,23
106,35,24
107,35,22
108,36,17
109,36,20
110,36,21
111,36,22
112,37,18
113,37,20
114,37,21
115,37,22
116,38,18
117,38,23
118,38,24
119,38,25
120,39,27
121,40,20
122,40,24
123,40,22
124,41,23
125,41,28
126,41,29
127,42,30
128,42,28
129,42,31
130,43,13
131,43,20
132,43,24
133,44,14
134,44,20
135,44,24
136,44,22
137,45,14
138,45,20
139,45,24
140,46,15
141,46,20
142,46,24
143,47,15
144,47,20
145,47,24
146,47,22
147,48,14
148,48,32
149,48,28
150,48,29
151,49,17
152,49,32
153,49,28
154,49,29
155,50,18
156,50,32
157,50,28
158,50,29
159,51,17
160,51,20
161,51,24
162,51,22
163,52,18
164,52,20
165,52,24
166,52,22
