id,collection_category_id,name,priority,card_id,background_id
1,1,アプール,99900,1000710,3
2,1,ウイス,99300,1002670,2
3,1,"ウーブ
(少年期)",99100,1002030,3
4,2,海賊ロボ,98500,1000770,1
5,2,合体13号,98200,1002530,1
6,2,合体ピラフマシン,98100,1000450,2
7,2,亀仙人,97900,1001020,5
8,2,"亀仙人
(MAXパワー)",97700,1003530,5
9,2,キーラ,97300,1000760,3
10,2,ギニュー,97200,1000950,2
12,2,キュイ,96500,1001110,3
13,2,クリリン,96100,1000890,1
14,2,"クリリン
(警官)",96000,1002180,4
15,2,グルド,95800,1001070,1
16,2,"ゴールデン
フリーザ",95000,2000850,5
17,2,ゴクア,94800,2000720,1
18,2,コルド大王,93900,2000190,4
19,3,ザーボン,93700,1000940,4
20,3,栽培マン,93600,1000780,4
21,3,サイボーグ桃白白,93500,2000070,3
22,3,ザンギャ,93200,2000710,5
23,3,ジース,93000,1001090,3
24,3,シェン,92900,1000460,2
25,3,シサミ,92800,1002590,3
26,3,ジャコ,92700,1002210,2
27,3,ジャッキー・チュン,92600,2000210,1
28,3,ジュエール,92100,1000750,1
29,3,人造人間13号,91900,1002520,1
32,3,人造人間16号,91800,1001010,3
33,3,人造人間17号,91700,1000990,5
34,3,"人造人間17号
(未来)",91600,1001730,4
35,3,人造人間18号,91400,1001000,5
36,3,"人造人間18号
(未来)",91200,1001740,2
37,3,人造人間19号,91100,1001230,3
38,3,シンバル,90700,1000480,4
39,3,"超サイヤ人
孫悟空",89400,1000010,5
40,3,"超サイヤ人2
孫悟空",89100,1003180,1
41,3,"超サイヤ人3
孫悟空",88900,1001920,3
42,3,"超サイヤ人ゴッド
SS孫悟空",88500,1002080,5
43,3,"超サイヤ人
孫悟天
(幼年期)",87600,1002580,5
44,3,"超サイヤ人
孫悟飯
(少年期)",86900,1001390,2
45,3,"超サイヤ人2
孫悟飯
(少年期)",86800,1002700,5
46,3,"超サイヤ人
孫悟飯
(青年期)",86700,1002200,4
47,3,"超サイヤ人
トランクス
(幼年期)",86100,1002570,3
48,3,"超サイヤ人
トランクス
(青年期)",86000,1001590,2
49,3,超トランクス,85300,1001800,3
50,3,"超サイヤ人
バーダック",85200,1001490,3
51,3,"超サイヤ人
ベジータ",84700,1000840,4
52,3,"超サイヤ人2
ベジータ",84500,1001790,5
53,3,"超サイヤ人ゴッド
SSベジータ",84050,1002090,3
54,3,スポポビッチ,82500,1000610,1
55,3,セリパ,82200,1001500,5
56,3,"セル
(第一形態)",82000,1000080,1
57,3,"セル
(第二形態)",81900,1001710,3
58,3,"セル
(完全体)",81800,1001720,4
59,3,ソルベ,81300,1002160,2
60,3,孫悟空,81200,1003140,2
61,3,"孫悟空
(界王拳)",81100,1001400,5
62,3,"孫悟空
(少年期)",80900,1002240,5
63,3,"孫悟天
(幼年期)",80100,1002000,5
65,3,"孫悟飯
(幼年期)",79800,1001620,5
66,3,"孫悟飯
(青年期)",79600,1002190,1
67,3,"孫悟飯
(少年期)",79700,1002680,4
68,4,ダーブラ,79100,1001980,5
69,4,桃白白,78300,1000260,5
70,4,タゴマ,78200,1002170,1
71,4,タンバリン,77900,1000470,3
72,4,チチ,77700,1001040,3
73,4,"チチ
(少女期)",77600,1003540,2
74,4,餃子,77500,1000920,1
75,4,チルド,77100,2000180,1
76,4,鶴仙人,77000,1001380,2
77,4,天津飯,76600,1002600,2
78,4,トーマ,76300,1001540,2
79,4,ドクター・ゲロ,75800,1001840,4
80,4,トテッポ,75400,1001550,3
81,4,ドドリア,75200,1001050,4
82,4,ドラム,74800,1000490,5
83,4,"トランクス
(青年期)",74400,1001860,4
84,4,"トランクス
(ゼノ)",74300,2000170,4
85,4,"トランクス
(幼年期)",74700,1001760,1
86,5,ナッパ,74000,1001420,1
87,5,ネイル,73400,1001100,2
88,6,バータ,73200,1001080,5
89,6,バーダック,73100,2000140,5
90,6,パーフェクトセル,72900,1001690,2
91,6,パイクーハン,72500,2000130,5
92,6,バビディ,72000,1002050,2
93,6,バビディの部下,71900,1000730,2
94,6,パンブーキン,71300,1001560,4
95,6,ビーデル,71000,1001990,1
96,6,ピッコロ,70900,1001630,4
97,6,ビドー,70500,2000730,4
98,6,ビルス,70300,1002660,1
99,6,プイプイ,70000,1002070,5
100,6,ブージン,69900,2000740,2
101,6,"フリーザ
(第一形態)",69300,2000040,2
102,6,"フリーザ
(第二形態)",69200,1001520,3
103,6,"フリーザ
(第三形態)",69100,1001600,1
104,6,"フリーザ
(最終形態)",69000,1001580,1
105,6,フリーザ兵,68600,1000790,1
107,6,"フルパワー
ボージャック",68400,1002560,3
108,6,プンター,67500,1000740,5
109,6,ベジータ,67300,2000060,5
110,6,"ベジータ
(幼年期)",67000,2000050,2
111,6,ベジータ王,66800,2000120,2
112,6,ボージャック,66200,2000700,3
113,7,マイティマスク,65800,2000200,1
114,7,マジュニア,65600,1002280,4
115,3,セルジュニア,81400,1000600,4
116,7,"魔人ブウ
(悪)",65200,1001960,1
117,7,"魔人ブウ
(純粋悪)",64600,1001950,3
118,7,"魔人ブウ
(善)",64500,1001940,4
119,7,魔人ベジータ,64200,1001930,1
120,7,ミスター・サタン,64000,1000820,2
122,7,メカフリーザ,63200,2000280,2
123,8,ヤコン,62800,1002060,3
124,8,ヤジロベー,62700,1001340,4
125,8,ヤムー,62600,1000620,1
126,8,ヤムチャ,62500,1001890,1
127,9,ラディッツ,62100,1001430,4
128,9,リクーム,61700,1001060,4
129,9,RR軍兵,61000,1000800,1
130,2,クウラ,96300,1002470,2
131,2,"クウラ
(最終形態)",96200,1003610,1
132,3,サウザー,93400,1002490,5
133,4,ドーレ,76100,1002500,1
134,5,ネイズ,73500,1002510,4
135,2,"グレート
サイヤマン",95700,1002940,3
136,2,"グレート
サイヤマン2号",95400,1002950,1
137,1,"アルティメット
孫悟飯",99700,1002020,4
138,7,"魔人ブウ
(純粋)",64800,1001970,5
139,6,ブルマ,68200,1003880,2
140,2,"クリリン
(少年期)",95900,1002340,3
141,7,ミスター・サタン像,63800,1002630,4
