id,name,description,rarity,selling_exchange_point,image_suffix_number,will_expire
1,ふしぎな宝石(緑),"冒険などで手に入る秘宝
占いババの交換所で様々なアイテムと交換が可能",0,1,1,0
2,金属果実,「ドラゴンボールGT ~究極のDB編~」で手に入る秘宝,2,1,5,0
3,サタンバッジ,「ドラゴンボールGT ~復讐鬼ベビー編~」で手に入る秘宝,2,1,10,0
4,30thコイン,期間限定で入手できる特別な秘宝,2,0,6,0
5,2周年コイン,2周年記念に集められるコイン,2,0,7,0
6,ヨカッタネ大根,「オッス! 帰ってきた孫悟空と仲間たち!!」で手に入る秘宝,0,1,11,0
7,ヨカッタネ大根(特大),"「オッス! 帰ってきた孫悟空と仲間たち!!」で
稀に手に入る秘宝",2,1,12,0
8,カチカッチン鋼,「ドラゴンボール超 宇宙サバイバル編」で手に入る秘宝,2,1,13,0
9,闘覇の輝き,"「スーパーバトルロード」で手に入る秘宝
占いババの交換所で交換が可能",2,0,14,0
10,プリン,「不屈の戦士 ベジータ」で手に入る秘宝,2,1,15,0
11,3周年コイン,3周年記念に集められるコイン,2,0,8,0
12,願いの短冊,七夕の期間に入手できる特別な秘宝,2,0,16,0
13,リッチストン,「神龍の伝説」で手に入る秘宝,2,1,17,0
14,ねむり姫,「魔神城のねむり姫」で手に入る秘宝,2,1,18,0
15,4周年コイン,4周年記念に集められるコイン,2,0,19,0
16,ランラン,「摩訶不思議大冒険」で手に入る秘宝,2,1,32,0
17,超人水封印の鍵,「ベジータ消滅！？ポトフ星の秘密」で手に入る秘宝,2,1,33,0
18,5周年コイン,5周年記念に集められるコイン,2,0,34,0
19,煌戦の極み,"「極限スーパーバトルロード」で獲得できる秘宝
占いババの交換所で交換が可能",2,0,35,0
20,6周年コイン,6周年記念に集められるコイン,2,0,36,0
21,7周年コイン,7周年記念に集められるコイン,2,0,37,0
22,ふしぎな宝石(青),"冒険などで手に入る希少な秘宝
占いババの交換所で豪華なアイテムと交換が可能",1,1,2,0
23,ペネンコぬいぐるみ,"特別編イベント
「究極への軌跡〜悟飯とピッコロ〜」で手に入る秘宝",0,1,38,0
24,ペネンコぬいぐるみ(大),"特別編イベント
「究極への軌跡〜悟飯とピッコロ〜」で稀に手に入る秘宝",2,1,39,0
25,サタンのサイン,天下一武道会で手に入る秘宝,2,0,40,0
26,みんなの元気,"8周年CPで集められる特別な秘宝
占いババの交換所で様々なアイテムと交換が可能",2,0,41,0
27,8周年コイン,8周年記念に集められるコイン,2,0,42,0
28,龍の原石(緑),"LINE公式アカウントなどで入手できる特別な秘宝
占いババの交換所で交換が可能",2,0,43,0
29,9周年コイン,9周年記念に集められるコイン,2,0,44,0
30,9周年ファンミーティングコイン,"ドッカンバトル9周年記念ファンミーティングにて
「ドッカン究極エキサイトバトル」の
一部ミッション達成で獲得できる秘宝",2,0,45,0
31,9周年ファンミーティングコイン,"ドッカンバトル9周年記念ファンミーティングにて
「ドッカン究極エキサイトバトル」の
一部ミッション達成で獲得できる秘宝",2,0,46,0
