id,name,description,rarity,area_category_ids,selling_exchange_point
1,物語の鍵,"追憶の扉「物語」の一覧にある
ステージに挑戦することができる",0,"{""area_category_ids"": [2, 7, 8, 9]}",10
2,育成の鍵,"追憶の扉「育成」の一覧にある
ステージに挑戦することができる",0,"{""area_category_ids"": [1, 3, 4, 5, 6]}",10
3,挑戦の鍵,"追憶の扉「挑戦」の一覧にある
ステージに挑戦することができる",0,"{""area_category_ids"": [10, 11, 12]}",10
4,限定の鍵1,"追憶の扉「限定」の一覧にある
「究極レベルアップ！精神と時の部屋」
に挑戦することができる",0,"{""area_category_ids"": [13]}",0
5,Zバトルの鍵,"追憶の扉「Zバトル」の一覧にある
ステージに挑戦することができる",0,"{""area_category_ids"": [999]}",10
101,限定の鍵2,"追憶の扉「限定」の一覧にある
「もっと強く!! 孫親子の超修業」
に挑戦することができる",0,"{""area_category_ids"": [14]}",10
102,限定の鍵3,"追憶の扉「限定」の一覧にある
「もっと強く!! 孫親子の超修業」
に挑戦することができる",0,"{""area_category_ids"": [15]}",0
103,限定の鍵4,"追憶の扉「限定」の一覧にある
「ドッカン究極スピードバトル」
に挑戦することができる",0,"{""area_category_ids"": [17]}",0
104,限定の鍵5,"追憶の扉「限定」の一覧にある
「ドッカン究極エキサイトバトル」
に挑戦することができる",0,"{""area_category_ids"": [18]}",0
105,限定の鍵6,"追憶の扉「限定」の一覧にある
「ドッカン究極エキサイトバトル」
に挑戦することができる",0,"{""area_category_ids"": [19]}",0
1001,指南の鍵,"追憶の扉「限定」の一覧にある
「界王神の崇高なる指南」
に挑戦することができる",0,"{""area_category_ids"": [16]}",0
