id,name,kana
1,超サイヤ人孫悟空,すーぱーさいやじんそんごくう
2,超サイヤ人ベジータ,すーぱーさいやじんべじーた
3,孫悟空,そんごくう
4,ベジータ,べじーた
5,フリーザ(第一形態),ふりーざ(だいいちけいたい)
6,セル(第一形態),せる(だいいちけいたい)
7,孫悟飯(幼年期),そんごはん(ようねんき)
8,トランクス(青年期),とらんくす(せいねんき)
9,クリリン,くりりん
10,ピッコロ,ぴっころ
11,天津飯,てんしんはん
12,餃子,ちゃおず
13,ヤムチャ,やむちゃ
14,ラディッツ,らでぃっつ
15,ナッパ,なっぱ
16,ザーボン,ざーぼん
17,ギニュー,ぎにゅー
18,人造人間19号,じんぞうにんげん19ごう
19,ドクター・ゲロ,どくたー・げろ
20,人造人間17号,じんぞうにんげん17ごう
21,人造人間18号,じんぞうにんげん18ごう
22,人造人間16号,じんぞうにんげん16ごう
23,亀仙人,かめせんにん
24,桃白白,たおぱいぱい
25,合体ピラフマシン,がったいぴらふましん
26,シェン,しぇん
27,タンバリン,たんばりん
28,シンバル,しんばる
29,ドラム,どらむ
30,チチ,ちち
31,ドドリア,どどりあ
32,リクーム,りくーむ
33,グルド,ぐるど
34,バータ,ばーた
35,ジース,じーす
36,ヤジロベー,やじろべー
37,ネイル,ねいる
38,ミスター・サタン,みすたー・さたん
39,ビーデル,びーでる
40,セルジュニア,せるじゅにあ
41,スポポビッチ,すぽぽびっち
42,ヤムー,やむー
43,ヤコン,やこん
44,プイプイ,ぷいぷい
45,アプール,あぷーる
46,キュイ,きゅい
47,バビディの部下,ばびでぃのぶか
48,プンター,ぷんたー
49,ジュエール,じゅえーる
50,キーラ,きーら
51,海賊ロボ,かいぞくろぼ
52,栽培マン,さいばいまん
53,フリーザ兵,ふりーざへい
54,RR軍兵,RRぐんへい
55,鶴仙人,つるせんにん
56,トランクス(ゼノ),とらんくす(ぜの)
57,超サイヤ人孫悟飯(少年期),すーぱーさいやじんそんごはん(しょうねんき)
58,サイボーグ桃白白,さいぼーぐたおぱいぱい
59,-,かーどなし
60,-,かーどなし
61,フリーザ(第二形態),ふりーざ(だいにけいたい)
62,フリーザ(第三形態),ふりーざ(だいさんけいたい)
63,フリーザ(最終形態),ふりーざ(さいしゅうけいたい)
64,-,かーどなし
65,-,かーどなし
66,超サイヤ人2孫悟空,すーぱーさいやじん2そんごくう
67,超サイヤ人バーダック,すーぱーさいやじんばーだっく
68,セリパ,せりぱ
69,トーマ,とーま
70,トテッポ,とてっぽ
71,パンブーキン,ぱんぶーきん
72,ジャッキー・チュン,じゃっきー・ちゅん
73,メカフリーザ,めかふりーざ
74,バーダック,ばーだっく
75,ベジータ(幼年期),べじーた(ようねんき)
76,-,かーどなし
77,孫悟飯(じいちゃん),そんごはん(じいちゃん)
78,パーフェクトセル,ぱーふぇくとせる
79,超サイヤ人2孫悟飯(少年期),すーぱーさいやじん2そんごはん(しょうねんき)
80,セル(第二形態),せる(だいにけいたい)
81,-,かーどなし
82,人造人間17号(未来),じんぞうにんげん17ごう(みらい)
83,人造人間18号(未来),じんぞうにんげん18ごう(みらい)
84,孫悟空(少年期),そんごくう(しょうねんき)
86,超サイヤ人ゴッドSS孫悟空,すーぱーさいやじんごっどSSそんごくう
87,超サイヤ人ゴッドSSベジータ,すーぱーさいやじんごっどSSべじーた
88,ゴールデンフリーザ,ごーるでんふりーざ
89,ビルス,びるす
90,ウイス,ういす
91,-,かーどなし
92,-,かーどなし
93,ソルベ,そるべ
94,タゴマ,たごま
95,クリリン(警官),くりりん(けいかん)
96,孫悟飯(青年期),そんごはん(せいねんき)
97,超サイヤ人孫悟飯(青年期),すーぱーさいやじんそんごはん(せいねんき)
98,ジャコ,じゃこ
99,亀仙人(MAXパワー),かめせんにん(MAXぱわー)
100,シサミ,しさみ
101,-,かーどなし
102,-,かーどなし
103,コルド大王,こるどだいおう
104,魔人ブウ(善),まじんぶう(ぜん)
105,ダーブラ,だーぶら
106,バビディ,ばびでぃ
107,トランクス(幼年期),とらんくす(ようねんき)
108,孫悟空(界王拳),そんごくう(かいおうけん)
109,孫悟天(幼年期),そんごてん(ようねんき)
110,ムラサキ曹長,むらさきそうちょう
111,ブルー将軍,ぶるーしょうぐん
112,セル(完全体),せる(かんぜんたい)
113,超サイヤ人トランクス(青年期),すーぱーさいやじんとらんくす(せいねんき)
114,ベジータ王,べじーたおう
115,魔人ベジータ,まじんべじーた
116,魔人ブウ(純粋悪),まじんぶう(じゅんすいあく)
117,超サイヤ人トランクス(幼年期),すーぱーさいやじんとらんくす(ようねんき)
118,超サイヤ人孫悟天(幼年期),すーぱーさいやじんそんごてん(ようねんき)
119,マジュニア,まじゅにあ
120,マイティマスク,まいてぃますく
121,チルド,ちるど
122,ボージャック,ぼーじゃっく
123,フルパワーボージャック,ふるぱわーぼーじゃっく
124,ザンギャ,ざんぎゃ
125,ゴクア,ごくあ
126,ビドー,びどー
127,ブージン,ぶーじん
128,孫悟飯(少年期),そんごはん(しょうねんき)
129,超トランクス,すーぱーとらんくす
130,-,かーどなし
131,超サイヤ人2ベジータ,すーぱーさいやじん2べじーた
132,チチ(少女期),ちち(しょうじょき)
133,パン(GT),ぱん(GT)
134,人造人間13号,じんぞうにんげん13ごう
135,合体13号,がったい13ごう
136,パイクーハン,ぱいくーはん
137,人造人間14号,じんぞうにんげん14ごう
138,人造人間15号,じんぞうにんげん15ごう
139,超サイヤ人3孫悟空,すーぱーさいやじん3そんごくう
140,魔人ブウ(悪),まじんぶう(あく)
141,クウラ,くうら
142,クウラ(最終形態),くうら(さいしゅうけいたい)
143,サウザー,さうざー
144,ドーレ,どーれ
145,ネイズ,ねいず
146,ウーブ(少年期),うーぶ(しょうねんき)
147,グレートサイヤマン,ぐれーとさいやまん
148,グレートサイヤマン2号,ぐれーとさいやまん2ごう
149,アルティメット孫悟飯,あるてぃめっとそんごはん
150,魔人ブウ(純粋),まじんぶう(じゅんすい)
151,ブルマ,ぶるま
152,クリリン(少年期),くりりん(しょうねんき)
153,孫悟空(GT),そんごくう(GT)
154,超サイヤ人ゴッド孫悟空,すーぱーさいやじんごっどそんごくう
155,ミスター・ブウ,みすたー・ぶう
156,ターレス,たーれす
157,カカオ,かかお
158,ダイーズ,だいーず
159,アモンド,あもんど
160,レズン,れずん
161,ラカセイ,らかせい
162,ミスター・ポポ,みすたー・ぽぽ
164,孫悟空(天使),そんごくう(てんし)
165,ピッコロ大魔王(老),ぴっころだいまおう(ろう)
166,ピッコロ大魔王,ぴっころだいまおう
167,アックマン,あっくまん
168,ブルマ(少女期),ぶるま(しょうじょき)
169,-,かーどなし
170,-,かーどなし
171,ウーロン,うーろん
172,チャパ王,ちゃぱおう
173,ドラキュラマン,どらきゅらまん
174,ミイラくん,みいらくん
175,超サイヤ人孫悟空(GT),すーぱーさいやじんそんごくう(GT)
176,超サイヤ人トランクス(GT),すーぱーさいやじんとらんくす(GT)
177,スーパーウーブ,すーぱーうーぶ
178,ベジータ(GT),べじーた(GT)
