id,z_battle_normal_reward_table_group_id
1,1
2,2
3,3
4,4
5,5
6,6
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,32
45,32
46,33
47,33
48,34
49,34
50,35
51,35
52,36
53,36
54,37
55,37
56,44
57,45
58,46
59,47
60,48
61,49
62,50
63,51
64,52
65,53
66,54
67,55
68,56
69,56
70,56
71,56
72,56
73,57
74,58
75,59
76,60
77,61
78,62
79,63
80,64
81,65
82,66
83,67
84,68
85,69
86,70
87,71
88,72
89,73
90,74
91,75
92,76
93,77
94,78
95,79
96,80
97,81
98,81
99,81
100,82
101,82
102,82
103,83
104,83
105,83
106,84
107,84
108,84
109,85
110,85
111,85
112,86
113,86
114,86
115,87
116,88
117,89
118,90
119,91
120,92
121,93
122,94
123,95
124,96
125,97
126,98
127,99
128,100
129,101
130,102
131,103
132,104
133,105
134,105
135,105
136,105
137,105
138,106
139,106
140,107
141,107
142,108
143,108
144,109
145,109
146,110
147,110
148,111
149,111
150,112
151,113
152,114
153,115
154,116
155,117
156,118
157,119
158,120
159,121
160,122
161,123
162,124
163,125
164,126
165,127
166,128
167,129
168,130
169,131
170,132
171,133
172,134
173,135
174,136
175,137
176,138
177,139
178,140
179,141
180,142
181,143
182,144
183,145
184,146
185,147
186,148
187,148
188,148
189,148
190,148
191,148
192,148
193,149
194,149
195,149
196,149
197,149
198,149
199,149
200,150
201,150
202,150
203,150
204,150
205,150
206,150
207,151
208,151
209,151
210,151
211,151
212,151
213,151
214,152
215,152
216,152
217,152
218,152
219,152
220,152
221,153
222,153
223,153
224,153
225,153
226,153
227,153
228,154
229,155
230,156
231,157
232,158
233,159
234,160
235,161
236,162
237,163
238,164
239,165
240,166
241,166
242,166
243,166
244,166
245,167
246,168
247,169
248,170
249,171
250,172
251,173
252,174
253,175
254,176
255,177
256,178
263,185
264,186
265,187
266,188
267,189
268,190
269,191
270,192
271,193
272,194
273,195
274,196
275,197
276,197
277,198
278,198
279,199
280,199
281,200
282,200
283,201
284,201
285,202
286,202
287,203
288,204
289,205
290,206
291,207
292,208
293,209
294,210
295,211
296,212
297,213
298,214
299,215
300,216
301,217
302,218
303,219
304,220
305,221
306,222
307,223
308,224
309,225
310,226
311,227
312,227
313,228
314,228
315,229
316,229
317,230
318,230
319,231
320,231
321,232
322,232
323,233
324,234
325,235
326,236
327,237
328,238
329,239
330,239
331,240
332,240
333,241
334,241
335,242
336,242
337,243
338,243
339,244
340,244
341,245
342,246
343,247
344,248
345,249
346,250
347,251
348,252
349,253
350,254
351,255
352,256
353,257
354,258
355,259
356,260
357,261
358,262
359,263
360,264
361,265
362,266
363,267
364,268
365,269
366,270
367,271
368,272
369,273
370,274
371,275
372,275
373,276
374,276
375,277
376,277
377,278
378,278
379,279
380,279
381,280
382,280
383,281
384,282
385,283
386,284
387,285
388,286
413,299
415,301
416,301
417,301
418,302
419,302
420,302
421,303
422,303
423,303
424,304
425,304
426,304
427,305
428,305
429,305
430,306
431,306
432,306
440,314
441,315
442,316
443,317
444,318
445,319
446,320
447,321
448,322
449,323
450,324
451,325
452,326
453,327
454,327
455,328
456,328
457,329
458,329
459,330
460,330
461,331
462,331
463,332
464,332
465,333
466,334
467,335
468,336
469,337
470,338
471,339
472,340
473,341
474,342
475,343
476,344
477,345
516,360
517,360
518,360
519,360
520,360
521,361
522,361
523,361
524,361
525,361
526,362
527,362
528,362
529,362
530,362
531,363
532,363
533,363
534,363
535,363
536,364
537,364
538,364
539,364
540,364
541,365
542,365
543,365
544,365
545,365
548,368
549,369
550,370
551,371
552,372
553,373
554,374
555,375
556,376
557,377
558,378
559,379
560,380
562,382
563,383
564,383
565,383
566,384
567,384
568,384
569,385
570,385
571,385
572,386
573,386
574,386
575,387
576,387
577,387
578,388
579,388
580,388
581,389
582,390
583,391
584,392
585,393
586,394
588,396
589,396
590,397
591,397
592,398
593,398
594,399
595,399
596,400
597,400
598,401
599,401
684,414
685,414
686,414
687,414
688,414
689,414
690,414
691,415
692,415
693,415
694,415
695,415
696,415
697,415
698,416
699,416
700,416
701,416
702,416
703,416
704,416
705,417
706,417
707,417
708,417
709,417
710,417
711,417
712,418
713,418
714,418
715,418
716,418
717,418
718,418
719,419
720,419
721,419
722,419
723,419
724,419
725,419
726,420
727,421
728,422
729,423
730,424
731,425
732,426
