id,budokai_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description
1,1,11,Point::Stone,3,0,龍石3個,第3回天下一武道会ミッション報酬
2,2,11,Point::Stone,1,0,龍石1個,第4回天下一武道会ミッション報酬
3,3,1,SpecialItem,3,0,少年編チケット(銀)3枚,第5回天下一武道会ミッション報酬
4,4,1,SpecialItem,3,0,少年編チケット(銀)3枚,第6回天下一武道会ミッション報酬
5,5,11,Point::Stone,3,0,龍石3個,第7回天下一武道会ミッション報酬
6,6,1,SpecialItem,3,0,少年編チケット(銀)3枚,第8回天下一武道会ミッション報酬
7,7,6,TrainingField,10,0,重力室(50倍)×10,第9回天下一武道会ミッション報酬
8,8,6,SupportItem,15,0,仙豆×15,第10回天下一武道会ミッション報酬
9,9,7,TrainingField,10,0,重力室(150倍）×10,第11回天下一武道会ミッション報酬
10,10,19,AwakeningItem,1,0,東の界王神×1,第12回天下一武道会ミッション報酬
11,11,11,Point::Stone,5,0,龍石×5,第13回天下一武道会ミッション報酬
12,12,11,Point::Stone,7,0,龍石×7,第14回天下一武道会ミッション報酬
13,13,4,SpecialItem,1,0,SSR確定ガシャチケット,第15回天下一武道会ミッション報酬
14,14,11,Point::Stone,1,0,龍石1個,第16回天下一武道会ミッション報酬
15,15,1002640,Card,1,93879,ミスター・サタン像(銀),第17回天下一武道会ミッション報酬
16,16,5,TrainingField,3,0,界王星×3,第18回天下一武道会ミッション報酬
17,17,1,AwakeningItem,30,0,グレゴリー×30,第19回天下一武道会ミッション報酬
18,18,6,SupportItem,10,0,仙豆×10,第20回天下一武道会ミッション報酬
19,19,11,Point::Stone,1,0,龍石1個,第21回天下一武道会ミッション報酬
20,20,4,TrainingField,10,0,蛇の道×10,第22回天下一武道会ミッション報酬
21,21,8,TrainingField,5,0,界王神星×5,第23回天下一武道会ミッション報酬
22,22,11,Point::Stone,5,0,龍石5個,第24回天下一武道会ミッション報酬
23,23,20,AwakeningItem,1,0,老界王神,第25回天下一武道会ミッション報酬
24,24,11,Point::Stone,5,0,龍石5個,第26回天下一武道会ミッション報酬
25,25,11,Point::Stone,3,0,龍石3個,第4回天下一武道会ミッション報酬
26,26,11,Point::Stone,1,0,龍石1個,第4回天下一武道会ミッション報酬
27,27,1,SpecialItem,3,0,少年編チケット(銀)3枚,第4回天下一武道会ミッション報酬
28,28,1,SpecialItem,3,0,少年編チケット(銀)3枚,第4回天下一武道会ミッション報酬
29,29,11,Point::Stone,3,0,龍石3個,第4回天下一武道会ミッション報酬
30,30,1,SpecialItem,1,0,少年編チケット(銀)1枚,第4回天下一武道会ミッション報酬
31,31,1,SpecialItem,3,0,少年編チケット(銀)3枚,第4回天下一武道会ミッション報酬
32,32,6,TrainingField,10,0,重力室(50倍)×10,第4回天下一武道会ミッション報酬
33,33,1,SpecialItem,1,0,少年編チケット(銀)1枚,第4回天下一武道会ミッション報酬
34,34,1,SpecialItem,1,0,少年編チケット(銀)1枚,第4回天下一武道会ミッション報酬
35,35,1,SpecialItem,1,0,少年編チケット(銀)1枚,第4回天下一武道会ミッション報酬
36,36,1,SpecialItem,1,0,少年編チケット(銀)1枚,第4回天下一武道会ミッション報酬
37,37,6,SupportItem,15,0,仙豆×15,第4回天下一武道会ミッション報酬
38,38,1,SpecialItem,1,0,少年編チケット(銀)1枚,第4回天下一武道会ミッション報酬
39,39,1,SpecialItem,1,0,少年編チケット(銀)1枚,第4回天下一武道会ミッション報酬
40,40,2,SpecialItem,1,0,少年編チケット(金)1枚,第4回天下一武道会ミッション報酬
41,41,1,SpecialItem,1,0,少年編チケット(銀)1枚,第4回天下一武道会ミッション報酬
42,42,7,TrainingField,10,0,重力室(150倍）×10,第4回天下一武道会ミッション報酬
43,43,19,AwakeningItem,1,0,東の界王神×1,第4回天下一武道会ミッション報酬
44,44,11,Point::Stone,5,0,龍石×5,第4回天下一武道会ミッション報酬
45,45,11,Point::Stone,7,0,龍石×7,第4回天下一武道会ミッション報酬
46,46,4,SpecialItem,1,0,SSR確定ガシャチケット,第4回天下一武道会ミッション報酬
47,47,11,Point::Stone,1,0,龍石1個,第4回天下一武道会ミッション報酬
48,48,1002640,Card,1,93879,ミスター・サタン像(銀),第4回天下一武道会ミッション報酬
49,49,5,TrainingField,3,0,界王星×3,第4回天下一武道会ミッション報酬
50,50,1,AwakeningItem,30,0,グレゴリー×30,第4回天下一武道会ミッション報酬
51,51,6,SupportItem,10,0,仙豆×10,第4回天下一武道会ミッション報酬
52,52,11,Point::Stone,1,0,龍石1個,第4回天下一武道会ミッション報酬
53,53,4,TrainingField,10,0,蛇の道×10,第4回天下一武道会ミッション報酬
54,54,8,TrainingField,5,0,界王神界×5,第4回天下一武道会ミッション報酬
55,55,11,Point::Stone,5,0,龍石5個,第4回天下一武道会ミッション報酬
56,56,20,AwakeningItem,1,0,老界王神,第4回天下一武道会ミッション報酬
57,57,11,Point::Stone,5,0,龍石5個,第4回天下一武道会ミッション報酬
58,58,11,Point::Stone,3,0,龍石3個,第5回天下一武道会ミッション報酬
59,59,11,Point::Stone,1,0,龍石1個,第5回天下一武道会ミッション報酬
60,60,1,SpecialItem,3,0,少年編チケット(銀)3枚,第5回天下一武道会ミッション報酬
61,61,1,SpecialItem,3,0,少年編チケット(銀)3枚,第5回天下一武道会ミッション報酬
62,62,11,Point::Stone,3,0,龍石3個,第5回天下一武道会ミッション報酬
63,63,1,SpecialItem,1,0,少年編チケット(銀)1枚,第5回天下一武道会ミッション報酬
64,64,1,SpecialItem,3,0,少年編チケット(銀)3枚,第5回天下一武道会ミッション報酬
65,65,6,TrainingField,10,0,重力室(50倍)×10,第5回天下一武道会ミッション報酬
66,66,1,SpecialItem,1,0,少年編チケット(銀)1枚,第5回天下一武道会ミッション報酬
67,67,1,SpecialItem,1,0,少年編チケット(銀)1枚,第5回天下一武道会ミッション報酬
68,68,1,SpecialItem,1,0,少年編チケット(銀)1枚,第5回天下一武道会ミッション報酬
69,69,1,SpecialItem,1,0,少年編チケット(銀)1枚,第5回天下一武道会ミッション報酬
70,70,6,SupportItem,15,0,仙豆×15,第5回天下一武道会ミッション報酬
71,71,1,SpecialItem,1,0,少年編チケット(銀)1枚,第5回天下一武道会ミッション報酬
72,72,1,SpecialItem,1,0,少年編チケット(銀)1枚,第5回天下一武道会ミッション報酬
73,73,2,SpecialItem,1,0,少年編チケット(金)1枚,第5回天下一武道会ミッション報酬
74,74,1,SpecialItem,1,0,少年編チケット(銀)1枚,第5回天下一武道会ミッション報酬
75,75,7,TrainingField,10,0,重力室(150倍）×10,第5回天下一武道会ミッション報酬
76,76,19,AwakeningItem,1,0,東の界王神×1,第5回天下一武道会ミッション報酬
77,77,11,Point::Stone,5,0,龍石×5,第5回天下一武道会ミッション報酬
78,78,2,SpecialItem,2,0,少年編チケット(金)2枚,第5回天下一武道会ミッション報酬
79,79,11,Point::Stone,7,0,龍石×7,第5回天下一武道会ミッション報酬
80,80,2,SpecialItem,3,0,少年編チケット(金)3枚,第5回天下一武道会ミッション報酬
81,81,4,SpecialItem,1,0,SSR確定ガシャチケット,第5回天下一武道会ミッション報酬
82,82,11,Point::Stone,1,0,龍石1個,第5回天下一武道会ミッション報酬
83,83,1002640,Card,1,93879,ミスター・サタン像(銀),第5回天下一武道会ミッション報酬
84,84,5,TrainingField,3,0,界王星×3,第5回天下一武道会ミッション報酬
85,85,1,AwakeningItem,30,0,グレゴリー×30,第5回天下一武道会ミッション報酬
86,86,6,SupportItem,10,0,仙豆×10,第5回天下一武道会ミッション報酬
87,87,11,Point::Stone,1,0,龍石1個,第5回天下一武道会ミッション報酬
88,88,4,TrainingField,10,0,蛇の道×10,第5回天下一武道会ミッション報酬
89,89,8,TrainingField,5,0,界王神界×5,第5回天下一武道会ミッション報酬
90,90,11,Point::Stone,5,0,龍石5個,第5回天下一武道会ミッション報酬
91,91,20,AwakeningItem,1,0,老界王神,第5回天下一武道会ミッション報酬
92,92,11,Point::Stone,5,0,龍石5個,第5回天下一武道会ミッション報酬
93,93,11,Point::Stone,3,0,龍石3個,第6回天下一武道会ミッション報酬
94,94,11,Point::Stone,1,0,龍石1個,第6回天下一武道会ミッション報酬
95,95,1,SpecialItem,3,0,少年編チケット(銀)3枚,第6回天下一武道会ミッション報酬
96,96,1,SpecialItem,3,0,少年編チケット(銀)3枚,第6回天下一武道会ミッション報酬
97,97,11,Point::Stone,3,0,龍石3個,第6回天下一武道会ミッション報酬
98,98,1,SpecialItem,1,0,少年編チケット(銀)1枚,第6回天下一武道会ミッション報酬
99,99,1,SpecialItem,3,0,少年編チケット(銀)3枚,第6回天下一武道会ミッション報酬
100,100,6,TrainingField,10,0,重力室(50倍)×10,第6回天下一武道会ミッション報酬
101,101,1,SpecialItem,1,0,少年編チケット(銀)1枚,第6回天下一武道会ミッション報酬
102,102,1,SpecialItem,1,0,少年編チケット(銀)1枚,第6回天下一武道会ミッション報酬
103,103,1,SpecialItem,1,0,少年編チケット(銀)1枚,第6回天下一武道会ミッション報酬
104,104,1,SpecialItem,1,0,少年編チケット(銀)1枚,第6回天下一武道会ミッション報酬
105,105,6,SupportItem,15,0,仙豆×15,第6回天下一武道会ミッション報酬
106,106,1,SpecialItem,1,0,少年編チケット(銀)1枚,第6回天下一武道会ミッション報酬
107,107,1,SpecialItem,1,0,少年編チケット(銀)1枚,第6回天下一武道会ミッション報酬
108,108,2,SpecialItem,1,0,少年編チケット(金)1枚,第6回天下一武道会ミッション報酬
109,109,1,SpecialItem,1,0,少年編チケット(銀)1枚,第6回天下一武道会ミッション報酬
110,110,7,TrainingField,10,0,重力室(150倍）×10,第6回天下一武道会ミッション報酬
111,111,11,Point::Stone,2,0,龍石2個,第6回天下一武道会ミッション報酬
112,112,19,AwakeningItem,1,0,東の界王神×1,第6回天下一武道会ミッション報酬
113,113,2,SpecialItem,2,0,少年編チケット(金)2枚,第6回天下一武道会ミッション報酬
114,114,11,Point::Stone,5,0,龍石×5,第6回天下一武道会ミッション報酬
115,115,2,SpecialItem,3,0,少年編チケット(金)3枚,第6回天下一武道会ミッション報酬
116,116,11,Point::Stone,7,0,龍石×7,第6回天下一武道会ミッション報酬
117,117,4,SpecialItem,1,0,SSR確定ガシャチケット,第6回天下一武道会ミッション報酬
118,118,11,Point::Stone,1,0,龍石1個,第6回天下一武道会ミッション報酬
119,119,1002640,Card,1,93879,ミスター・サタン像(銀),第6回天下一武道会ミッション報酬
120,120,5,TrainingField,3,0,界王星×3,第6回天下一武道会ミッション報酬
121,121,1,AwakeningItem,30,0,グレゴリー×30,第6回天下一武道会ミッション報酬
122,122,6,SupportItem,10,0,仙豆×10,第6回天下一武道会ミッション報酬
123,123,11,Point::Stone,1,0,龍石1個,第6回天下一武道会ミッション報酬
124,124,4,TrainingField,10,0,蛇の道×10,第6回天下一武道会ミッション報酬
125,125,8,TrainingField,5,0,界王神界×5,第6回天下一武道会ミッション報酬
126,126,11,Point::Stone,5,0,龍石5個,第6回天下一武道会ミッション報酬
127,127,20,AwakeningItem,1,0,老界王神,第6回天下一武道会ミッション報酬
128,128,11,Point::Stone,5,0,龍石5個,第6回天下一武道会ミッション報酬
129,129,11,Point::Stone,3,0,龍石3個,第7回天下一武道会ミッション報酬
130,130,11,Point::Stone,1,0,龍石1個,第7回天下一武道会ミッション報酬
131,131,1,SpecialItem,3,0,少年編チケット(銀)3枚,第7回天下一武道会ミッション報酬
132,132,1,SpecialItem,3,0,少年編チケット(銀)3枚,第7回天下一武道会ミッション報酬
133,133,11,Point::Stone,3,0,龍石3個,第7回天下一武道会ミッション報酬
134,134,1,SpecialItem,1,0,少年編チケット(銀)1枚,第7回天下一武道会ミッション報酬
135,135,1,SpecialItem,3,0,少年編チケット(銀)3枚,第7回天下一武道会ミッション報酬
136,136,6,TrainingField,10,0,重力室(50倍)×10,第7回天下一武道会ミッション報酬
137,137,1,SpecialItem,1,0,少年編チケット(銀)1枚,第7回天下一武道会ミッション報酬
138,138,1,SpecialItem,1,0,少年編チケット(銀)1枚,第7回天下一武道会ミッション報酬
139,139,1,SpecialItem,1,0,少年編チケット(銀)1枚,第7回天下一武道会ミッション報酬
140,140,1,SpecialItem,1,0,少年編チケット(銀)1枚,第7回天下一武道会ミッション報酬
141,141,6,SupportItem,15,0,仙豆×15,第7回天下一武道会ミッション報酬
142,142,1,SpecialItem,1,0,少年編チケット(銀)1枚,第7回天下一武道会ミッション報酬
143,143,1,SpecialItem,1,0,少年編チケット(銀)1枚,第7回天下一武道会ミッション報酬
144,144,2,SpecialItem,1,0,少年編チケット(金)1枚,第7回天下一武道会ミッション報酬
145,145,1,SpecialItem,1,0,少年編チケット(銀)1枚,第7回天下一武道会ミッション報酬
146,146,7,TrainingField,10,0,重力室(150倍）×10,第7回天下一武道会ミッション報酬
147,147,19,AwakeningItem,1,0,東の界王神×1,第7回天下一武道会ミッション報酬
148,148,11,Point::Stone,2,0,龍石2個,第7回天下一武道会ミッション報酬
149,149,2,SpecialItem,2,0,少年編チケット(金)2枚,第7回天下一武道会ミッション報酬
150,150,11,Point::Stone,5,0,龍石×5,第7回天下一武道会ミッション報酬
151,151,2,SpecialItem,3,0,少年編チケット(金)3枚,第7回天下一武道会ミッション報酬
152,152,11,Point::Stone,7,0,龍石×7,第7回天下一武道会ミッション報酬
153,153,4,SpecialItem,1,0,SSR確定ガシャチケット,第7回天下一武道会ミッション報酬
154,154,11,Point::Stone,1,0,龍石1個,第7回天下一武道会ミッション報酬
155,155,1002640,Card,1,93879,ミスター・サタン像(銀),第7回天下一武道会ミッション報酬
156,156,5,TrainingField,3,0,界王星×3,第7回天下一武道会ミッション報酬
157,157,1,AwakeningItem,30,0,グレゴリー×30,第7回天下一武道会ミッション報酬
158,158,6,SupportItem,10,0,仙豆×10,第7回天下一武道会ミッション報酬
159,159,11,Point::Stone,1,0,龍石1個,第7回天下一武道会ミッション報酬
160,160,4,TrainingField,10,0,蛇の道×10,第7回天下一武道会ミッション報酬
161,161,8,TrainingField,5,0,界王神界×5,第7回天下一武道会ミッション報酬
162,162,11,Point::Stone,5,0,龍石5個,第7回天下一武道会ミッション報酬
163,163,20,AwakeningItem,1,0,老界王神,第7回天下一武道会ミッション報酬
164,164,11,Point::Stone,5,0,龍石5個,第7回天下一武道会ミッション報酬
165,165,11,Point::Stone,3,0,龍石3個,第8回天下一武道会ミッション報酬
166,166,11,Point::Stone,1,0,龍石1個,第8回天下一武道会ミッション報酬
167,167,1,SpecialItem,3,0,少年編チケット(銀)3枚,第8回天下一武道会ミッション報酬
168,168,1,SpecialItem,3,0,少年編チケット(銀)3枚,第8回天下一武道会ミッション報酬
169,169,11,Point::Stone,3,0,龍石3個,第8回天下一武道会ミッション報酬
170,170,1,SpecialItem,1,0,少年編チケット(銀)1枚,第8回天下一武道会ミッション報酬
171,171,1,SpecialItem,3,0,少年編チケット(銀)3枚,第8回天下一武道会ミッション報酬
172,172,6,TrainingField,10,0,重力室(50倍)×10,第8回天下一武道会ミッション報酬
173,173,1,SpecialItem,1,0,少年編チケット(銀)1枚,第8回天下一武道会ミッション報酬
174,174,1,SpecialItem,1,0,少年編チケット(銀)1枚,第8回天下一武道会ミッション報酬
175,175,1,SpecialItem,1,0,少年編チケット(銀)1枚,第8回天下一武道会ミッション報酬
176,176,1,SpecialItem,1,0,少年編チケット(銀)1枚,第8回天下一武道会ミッション報酬
177,177,6,SupportItem,15,0,仙豆×15,第8回天下一武道会ミッション報酬
178,178,1,SpecialItem,1,0,少年編チケット(銀)1枚,第8回天下一武道会ミッション報酬
179,179,1,SpecialItem,1,0,少年編チケット(銀)1枚,第8回天下一武道会ミッション報酬
