id,ai_type,action_type,weight,hp_rate_begin,hp_rate_end,min_interval,max_number,atk_rate_1,atk_rate_2,max_num_per_turn,recover_hp_rate,next_ai_type,ai_param,ai_param2,attack_order,created_at,updated_at
1,1,1,100,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
2,2,2,100,0.0,30.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
3,2,1,100,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
4,3,2,50,0.0,30.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
5,3,2,25,31.0,50.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
6,3,2,7,51.0,80.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
7,3,1,75,31.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
8,4,2,25,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
9,4,1,75,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
10,5,2,33,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
11,5,1,67,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
12,6,2,50,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
13,6,1,50,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
14,7,2,99,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
15,7,1,1,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
16,8,2,100,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
17,9,2,100,0.0,100.0,1,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
18,10,2,75,0.0,30.0,0,1,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
19,10,1,25,0.0,30.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
20,11,2,100,90.0,100.0,0,1,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
21,11,2,30,0.0,90.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
22,11,1,70,0.0,90.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
23,12,1,83,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
24,12,2,17,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
25,13,2,100,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
26,13,2,100,0.0,50.0,1,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
27,14,2,100,50.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
28,14,2,100,0.0,50.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
29,15,2,100,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
30,16,2,30,0.0,30.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
31,16,2,15,31.0,50.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
32,16,2,5,51.0,80.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
33,16,1,75,31.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
34,17,1,25,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
35,17,2,30,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
36,17,3,45,0.0,100.0,0,999,100,40,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
37,18,1,35,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
38,18,2,25,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
39,18,3,40,0.0,100.0,0,999,100,40,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
40,19,0,62,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
41,19,1,27,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
42,19,2,11,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
43,20,0,40,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
44,20,1,28,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
45,20,2,10,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
46,20,4,22,0.0,60.0,0,999,100,100,1,5,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
47,21,0,35,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
48,21,1,58,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
49,21,2,7,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
50,22,1,83,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
51,22,2,17,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
52,23,1,46,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
53,23,2,17,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
54,23,4,37,0.0,70.0,0,999,100,100,1,30,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
55,24,1,47,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
56,24,2,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
57,24,4,33,0.0,70.0,0,999,100,100,1,20,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
58,25,0,28,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
59,25,1,61,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
60,25,2,11,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-07-23 00:22:27,2024-07-23 00:22:27
