id,rank,exp_total,act_max,friends_capacity,created_at,updated_at
1,1,0,20,50,2021-11-17 00:25:21,2021-11-17 00:25:21
2,2,15,20,50,2021-11-17 00:25:21,2021-11-17 00:25:21
3,3,45,22,51,2021-11-17 00:25:21,2021-11-17 00:25:21
4,4,90,22,51,2021-11-17 00:25:21,2021-11-17 00:25:21
5,5,160,22,51,2021-11-17 00:25:21,2021-11-17 00:25:21
6,6,255,24,52,2021-11-17 00:25:21,2021-11-17 00:25:21
7,7,400,24,52,2021-11-17 00:25:21,2021-11-17 00:25:21
8,8,620,24,52,2021-11-17 00:25:21,2021-11-17 00:25:21
9,9,940,26,53,2021-11-17 00:25:21,2021-11-17 00:25:21
10,10,1385,26,53,2021-11-17 00:25:21,2021-11-17 00:25:21
11,11,1995,26,53,2021-11-17 00:25:21,2021-11-17 00:25:21
12,12,2810,28,54,2021-11-17 00:25:21,2021-11-17 00:25:21
13,13,3870,28,54,2021-11-17 00:25:21,2021-11-17 00:25:21
14,14,5215,28,54,2021-11-17 00:25:21,2021-11-17 00:25:21
15,15,6885,30,55,2021-11-17 00:25:21,2021-11-17 00:25:21
16,16,8920,30,55,2021-11-17 00:25:21,2021-11-17 00:25:21
17,17,11360,30,55,2021-11-17 00:25:21,2021-11-17 00:25:21
18,18,14245,32,56,2021-11-17 00:25:21,2021-11-17 00:25:21
19,19,17615,32,56,2021-11-17 00:25:21,2021-11-17 00:25:21
20,20,21510,32,56,2021-11-17 00:25:21,2021-11-17 00:25:21
21,21,25970,34,57,2021-11-17 00:25:21,2021-11-17 00:25:21
22,22,31015,34,57,2021-11-17 00:25:21,2021-11-17 00:25:21
23,23,36665,34,57,2021-11-17 00:25:21,2021-11-17 00:25:21
24,24,42940,36,58,2021-11-17 00:25:21,2021-11-17 00:25:21
25,25,49860,36,58,2021-11-17 00:25:21,2021-11-17 00:25:21
26,26,57445,36,58,2021-11-17 00:25:21,2021-11-17 00:25:21
27,27,65715,38,59,2021-11-17 00:25:21,2021-11-17 00:25:21
28,28,74690,38,59,2021-11-17 00:25:21,2021-11-17 00:25:21
29,29,84390,38,59,2021-11-17 00:25:21,2021-11-17 00:25:21
30,30,94835,40,60,2021-11-17 00:25:21,2021-11-17 00:25:21
31,31,106045,40,60,2021-11-17 00:25:21,2021-11-17 00:25:21
32,32,118040,40,60,2021-11-17 00:25:21,2021-11-17 00:25:21
33,33,130820,42,61,2021-11-17 00:25:21,2021-11-17 00:25:21
34,34,144385,42,61,2021-11-17 00:25:21,2021-11-17 00:25:21
